24073162
/m/07kcqc9
/m/07kcqc9
Mary Wesley
1994
{"/m/05hgj": "Novel"}
a 6
about 2
accident 1
addition 1
after 1
alone 1
and 11
anyone 2
apartment 1
as 1
at 1
becomes 1
been 1
being 1
blames 2
but 1
by 3
calls 1
car 1
cleaning 1
clients 1
closer 1
confide 1
crash 1
distances 1
divorcee 1
edge 1
entering 1
eventually 1
ever 1
fascinated 1
feelings 2
following 1
for 1
from 1
funeral 1
grief 1
guilt 1
has 1
haunted 1
having 1
her 12
herself 4
husband 1
immediately 1
in 5
increasingly 1
instead 1
interested 1
into 1
is 5
isolated 1
julia 9
keeps 3
lady 1
late 1
lives 1
living 1
london 1
loss 1
lost 1
loving 1
makes 2
meet 1
mother 2
night 1
not 2
of 1
one 2
phone 1
piper 1
publisher 1
pushing 1
relationship 2
reserved 1
selfreproach 1
she 1
since 1
son 1
stalked 1
stranger 1
surroundings 1
sylvester 3
talk 1
terrorized 1
the 4
they 1
to 7
unable 2
unapproachable 1
unwilling 1
when 1
who 1
with 2
woman 1
wykes 1
young 1
