665839
/m/0312r_
/m/0312r_
David Brin
1990
2038 1
a 4
address 1
against 1
allowing 1
also 1
an 1
and 6
artificially 1
as 1
attempts 1
banks 1
been 1
before 1
black 1
book 3
brin 1
bringing 1
by 1
can 1
cast 1
cause 1
cautionary 1
characters 1
country 1
courseand 1
created 1
destroys 1
disasters 1
disregard 1
earth 2
ecological 1
ecoterrorism 1
effects 1
endangered 1
environment 1
environmental 1
even 1
events 1
expands 1
experiments 1
follow 1
for 1
from 1
fueled 1
future 2
generations 1
global 1
gradually 1
harm 1
has 2
hide 1
hole 1
humanity 2
humans 1
in 4
includes 1
including 1
interior 1
into 1
involves 1
is 1
issues 1
it 3
its 1
itself 1
kleptocrats 1
large 1
lost 1
most 1
number 1
of 8
outrage 1
over 1
overpopulation 1
pitting 1
planet 2
plot 2
question 1
reckless 1
recover 1
refugees 1
reshape 1
reveals 1
revelations 1
scientific 1
scope 1
set 1
social 1
species 1
stolen 1
story 1
survivalof 1
swiss 1
switzerland 1
tale 1
the 21
their 2
them 1
to 3
universe 1
uses 1
vastly 1
via 1
war 1
warming 1
wealth 1
which 2
year 1
