11390905
/m/02r9wys
/m/02r9wys
Vera Chapman
1976
a 15
abandoned 1
about 2
absence 1
acts 1
actually 1
admirer 1
after 4
again 3
ahead 1
all 2
allegiance 1
alone 1
along 1
also 2
amount 1
and 27
another 1
any 1
appeared 1
are 2
arranged 1
arthur 5
arthurian 1
as 7
attacks 1
back 1
be 2
beautiful 1
because 1
bedrooms 1
before 4
befriended 1
begins 1
beheads 1
best 1
black 1
blessing 1
blind 1
blue 1
boy 2
bravely 1
bridesmaids 1
brother 1
brothers 1
bury 1
but 4
by 4
camelot 2
can 3
caves 2
chapman 1
choice 1
claims 1
comments 1
companions 1
company 1
completely 2
consents 1
considerable 1
convince 1
convinced 2
corresponding 1
could 1
course 3
creatures 1
cries 1
curse 1
damosel 1
dangerous 1
dark 1
day 1
decidedly 1
decides 1
delight 1
departure 1
died 1
dies 1
disguises 1
do 1
does 1
dragged 1
dual 1
dying 1
each 1
earns 1
either 1
enters 1
envy 1
escapes 1
essentially 2
events 1
eventually 4
eyes 1
fact 1
fallen 1
falls 1
father 1
fear 1
feeling 1
feels 1
festivities 1
figureheads 1
finally 3
finds 1
first 1
flashback 2
for 3
forced 1
forgive 1
freeing 1
friend 1
from 3
gaheris 5
gareth 6
ghost 1
giggling 1
go 1
going 1
gracefully 1
grail 3
groom 1
group 1
guilty 1
guinevere 1
had 1
hair 1
happen 2
happy 1
hard 1
has 3
haunted 1
have 1
he 14
heartbroken 1
help 3
her 22
herself 2
him 10
himself 3
his 7
holding 1
holy 1
home 1
honeymoon 1
honeymoons 1
horrified 1
hostage 1
household 1
how 1
however 2
hurries 1
husband 1
if 1
imprisoned 1
in 14
including 1
informs 1
intervenes 1
is 20
it 6
journey 1
just 1
kidnapped 1
king 2
kitchen 1
knight 2
knights 1
know 1
laid 1
lancelot 1
lands 1
later 1
leading 1
leaves 1
legend 1
let 1
life 2
light 1
like 1
little 1
lived 1
long 2
lord 1
lords 1
love 3
loves 1
loyalty 1
lucius 8
lynette 15
lyonesse 4
make 3
male 1
man 4
manages 3
marry 2
meets 1
mentor 1
merely 1
merlin 2
messenger 1
met 1
miserable 1
more 1
mother 1
named 1
network 1
next 2
night 1
no 2
not 4
novel 2
of 18
older 2
once 2
one 1
only 2
opening 1
out 5
outside 1
over 4
owe 1
own 1
pair 2
pale 1
party 1
peculiar 1
persuade 1
plain 1
pleading 1
pleased 1
pleases 1
post 1
prepared 1
presumes 1
proves 1
publicly 1
quite 1
raped 3
rather 1
realises 1
receives 1
receiving 1
red 1
released 1
rescue 1
rescuing 1
resentful 1
resolving 1
respect 1
respectively 1
resume 1
retelling 1
retrieve 1
return 1
revealed 1
reward 1
room 1
rude 1
sadly 1
save 1
see 3
seek 1
sends 1
separated 1
servant 1
sets 2
shall 2
shamed 1
she 32
short 1
sight 1
simple 1
simultaneously 1
sister 5
sisters 1
sleeps 1
so 4
soon 1
sort 1
spends 1
startled 1
strange 2
subsequently 1
suite 1
summarizes 1
swear 1
teenager 1
telling 1
terrified 1
terrifying 1
than 1
that 16
the 41
their 3
them 1
thinks 1
this 2
those 1
through 1
thus 1
time 3
to 29
together 1
touching 1
towards 1
travel 1
traveling 1
tries 1
two 1
unfortunately 1
unlucky 1
unruly 1
until 1
up 2
upon 4
use 1
very 5
virgin 1
wakes 1
want 2
was 4
watch 1
way 2
wed 1
wedding 2
were 1
what 2
when 1
which 2
who 8
will 5
wishes 1
witch 3
with 19
without 1
work 1
worried 1
would 1
young 1
