230016
/m/01hglg
/m/01hglg
Anthony Trollope

a 6
about 1
acquaintance 1
after 2
afterwards 1
again 1
all 2
allegedly 1
along 1
an 2
and 11
annulling 1
another 1
appeal 1
are 1
arena 1
as 3
at 1
awkward 1
back 2
become 1
becomes 1
been 4
beloved 1
bitter 1
bonteen 4
bribed 1
brought 1
but 1
by 3
career 1
character 1
childbirth 1
circumstantial 1
conflict 1
considered 1
continent 1
control 1
convict 1
convinces 1
described 1
desert 1
determined 1
developments 1
diamonds 1
did 1
died 1
discovered 1
disillusioned 1
disparaging 1
does 2
down 2
dull 1
duplicate 1
election 1
emilius 5
encounter 1
encouraged 1
enemy 1
england 2
enough 2
eustace 3
even 1
everyone 1
evidence 2
excitement 1
exit 1
falls 1
finds 2
finn 9
first 1
foes 1
for 3
former 1
found 1
friendship 1
gently 1
give 1
goes 1
goesler 1
guilty 1
had 8
have 1
having 1
he 5
her 2
him 3
his 9
however 1
husband 1
in 6
incident 1
innocent 1
inspector 1
irish 1
is 8
it 2
job 1
key 2
kingdom 1
lady 2
latter 1
locksmith 1
lodgings 1
london 1
looking 1
loses 1
luck 1
madame 3
made 1
main 1
majority 1
make 1
makes 1
man 1
margin 1
marriage 1
married 1
marries 1
marry 1
max 3
member 2
men 1
most 1
mr 2
murder 2
murdered 1
narrow 1
neither 1
night 2
not 4
of 12
offered 1
office 1
on 3
one 3
opponent 1
ordeal 1
other 2
out 2
overturn 1
own 1
parliament 3
party 1
past 1
phineas 3
points 1
political 2
politics 1
poorhouse 1
promising 1
quarrel 1
quickly 1
referring 1
remarks 1
renew 1
renews 1
retires 1
returning 1
reverend 1
safeguarding 1
seen 1
sensation 1
set 1
she 3
society 1
some 1
spirals 1
stand 1
succeeds 1
suspect 1
suspicion 1
that 4
the 28
their 1
therefore 1
they 2
this 1
thus 1
to 12
tory 1
travels 1
trial 2
trustworthiness 1
turned 1
two 1
unexpectedly 1
unfortunately 1
united 1
unsatisfying 1
urging 1
victory 1
violently 1
voters 1
wealth 1
wealthy 1
wed 1
when 3
whigs 1
while 2
who 1
widow 1
wife 1
will 1
with 3
within 1
worn 1
younger 1
