1473552
/m/0549_s
/m/0549_s
Richard Brautigan
1968-06-14
{"/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 10
abandoned 2
about 2
account 1
actual 1
all 2
along 1
also 1
and 10
annihilation 1
anthropomorphic 1
appears 1
area 1
arithmetic 1
as 1
at 2
be 1
because 1
been 1
beginning 1
beings 1
bridge 2
by 2
called 1
central 1
civilization 1
climax 1
collector 1
community 1
competent 1
conspiring 1
could 2
created 1
details 1
developed 1
did 1
eat 1
ended 1
events 2
evil 1
explore 1
family 1
farm 1
first 1
followers 2
forbidden 1
forgotten 2
former 1
friendly 1
friends 1
from 2
great 1
group 1
had 1
handful 1
happenfor 1
has 1
have 1
he 2
heap 1
hear 1
her 1
his 1
huge 1
human 1
ideath 4
in 2
inboil 6
including 1
instruments 1
into 1
is 7
it 2
kill 2
killed 3
knew 1
know 2
known 1
last 1
later 2
least 1
left 1
lie 1
live 1
lover 1
make 1
man 1
many 2
margaret 4
may 1
men 1
musical 1
narrator 4
near 1
not 1
novel 2
oblivious 1
of 12
on 2
once 1
only 1
or 1
own 1
parents 1
people 3
person 1
piles 1
place 1
plan 1
planning 1
play 1
plotting 1
previously 1
reader 1
real 1
really 1
rebellious 1
related 1
relationship 1
remnants 1
residents 2
returns 1
reveal 1
reveals 1
safety 1
says 1
semiostracized 1
separation 1
she 1
show 1
sing 1
somehow 1
something 1
spot 1
story 1
such 1
suspect 1
talk 1
tension 1
that 2
the 30
their 1
them 1
these 1
they 2
things 1
threats 1
through 1
thus 1
tiger 1
tigers 5
to 8
trash 1
trout 1
two 1
unconcerned 1
unknown 1
violent 1
was 1
we 1
were 3
what 1
where 1
whether 1
while 1
whiskey 1
who 2
with 4
works 1
would 1
years 1
