10151140
/m/02q3gsx
/m/02q3gsx
John Barnes
1999
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 28
about 1
acquire 1
address 1
adopt 1
affair 2
after 3
against 1
agency 1
agent 1
alien 1
allout 1
almost 1
ambassador 3
an 7
and 34
another 1
antimatter 1
apart 1
appearances 1
are 6
areas 1
arrive 2
as 10
assigned 1
assistant 1
at 3
ate 1
attack 1
attacks 2
attractive 1
authorities 1
auvaiyar 4
avantgarde 1
away 1
back 2
based 2
be 1
became 1
becomes 1
been 5
before 1
began 2
begins 1
behind 1
being 1
believes 1
between 2
bigoted 1
body 1
boss 1
both 3
brace 1
break 1
breaks 1
briand 6
bring 1
brokers 1
brutally 1
but 4
by 10
calls 1
calmly 1
can 1
cankam 1
captured 1
causes 1
center 1
central 1
centuries 1
charge 1
choosing 1
city 1
civil 1
civilization 1
cleansing 1
clear 1
close 1
colony 1
comes 2
completely 1
confesses 1
confessing 1
conservative 1
contact 3
continue 1
conveniences 1
corpse 1
could 1
council 1
create 1
crisis 1
critic 2
crowd 2
cult 3
cultural 1
culture 4
cultures 3
cut 1
daily 1
dating 1
dead 1
decades 1
decides 1
deeply 1
defuse 1
despite 2
destroying 1
destruction 1
devastated 1
did 1
diplomatic 1
directly 1
disastermdashthe 1
discovery 1
distant 1
do 2
during 2
each 1
earth 2
elected 1
embassy 2
ends 1
envelop 1
environment 1
erupts 1
escape 1
establish 1
ethnic 2
evacuate 1
evacuated 1
everyone 1
except 1
failure 1
falling 1
family 1
famously 1
farming 1
fears 1
fighting 1
find 1
finds 1
first 1
flying 1
focus 1
for 7
forced 2
forces 2
forgiveness 1
former 2
forth 1
found 1
founding 1
fourth 1
friend 1
from 6
front 1
fullscale 2
get 1
giraut 12
girlfriend 1
given 1
go 1
goes 1
going 1
government 1
grandfather 1
gravity 1
habitable 1
had 3
has 2
hatred 1
have 3
having 1
he 5
head 1
headlinegrabbing 1
heads 1
heart 2
hedon 1
her 4
heritage 2
high 2
his 16
honor 1
hoped 1
hopes 1
hot 1
however 1
humanity 4
illegal 1
immediately 1
important 1
in 13
increasing 1
influential 1
inner 1
instantaneous 1
instead 1
intact 1
integrating 1
intelligence 1
interpretation 2
into 4
invade 1
invitation 1
involved 1
is 12
isolated 1
it 3
ix 8
jealousy 1
join 1
junior 1
just 1
kannan 3
kapilar 8
key 1
kiel 2
kintulum 1
known 1
latter 1
least 1
leave 1
left 1
limelight 1
literature 1
live 2
local 1
lot 1
lungs 1
mandalam 1
margaret 5
marriage 3
married 1
maser 1
mass 1
matched 1
may 1
maya 3
mayan 3
mayans 4
mayatown 1
meets 1
missing 1
mission 3
mixed 1
mob 1
modernization 1
most 1
motion 1
move 1
movement 2
murder 2
murderous 1
murukan 1
must 1
name 1
native 1
nephew 1
new 6
newlygrown 1
next 1
no 1
nose 1
not 2
notable 1
now 1
of 28
off 2
office 4
officially 1
officials 1
on 10
one 1
oneyearlong 1
only 2
oppressed 1
oppressive 1
opts 1
or 1
order 2
ordered 2
orders 1
other 1
out 1
outer 1
oversight 1
pain 1
paxa 1
peccaries 2
people 1
plan 3
planet 4
planning 1
plaza 1
ploy 1
poet 1
point 2
politically 1
position 1
possible 2
power 1
powerful 1
precolumbian 1
preserve 1
previously 1
priest 1
prior 1
projects 4
prophecy 1
prophet 2
protests 1
proud 1
provide 1
proximity 1
prytanis 1
public 3
pusiictsom 4
put 1
race 1
raised 1
rampage 1
ranking 1
reacts 1
real 1
reclusive 1
reconciliation 2
recruit 1
reformer 1
refused 1
refuses 1
relations 1
rely 1
rest 2
result 1
revealing 1
riots 1
rumor 1
run 1
salvage 1
sangam 1
saying 1
scenes 1
scrutiny 1
sderblom 1
secret 2
secretive 1
sent 2
series 1
several 2
shan 4
she 1
ship 1
shoots 1
show 1
sides 1
simple 1
since 1
slum 1
small 1
some 1
space 1
speak 1
speaks 1
special 4
speech 3
spend 1
sphere 2
springer 4
springers 2
stage 1
start 1
starting 1
starts 1
station 1
steer 1
strained 1
strengthening 1
subsistence 1
supervisor 1
take 1
tamil 6
tamilmayan 1
tamils 3
tanjavur 5
tears 1
technological 1
temple 2
that 9
the 65
their 5
they 5
this 1
through 4
time 2
to 43
tohil 1
tolerance 1
traditionally 1
travel 2
truth 1
try 1
turbulent 1
two 3
tziquin 6
tzquin 1
unable 1
uncle 3
under 2
unexpectedly 2
unfold 1
united 1
until 2
upcoming 1
used 1
uses 1
valuable 1
vellala 1
very 1
volcano 1
wants 1
war 4
was 2
watch 1
way 1
weapons 1
wed 1
well 1
where 3
which 2
who 5
whoever 1
whom 1
with 10
work 1
working 1
yacht 1
yaxkintulum 5
year 2
years 1
