19358363
/m/03cfsp9
/m/03cfsp9
Helen Dunmore
2008-05-05
a 7
abilities 1
adventures 1
after 1
air 2
alive 1
all 2
alone 1
and 23
answer 3
are 4
around 1
assembly 1
attacked 1
australia 1
away 1
back 2
be 1
been 3
blow 1
book 2
both 1
bottom 1
boyfriend 1
but 7
by 1
call 4
called 1
cant 1
carne 1
cas 1
cat 1
chamber 2
children 2
chosen 2
comes 1
complete 1
conch 1
connor 6
conor 3
cove 1
crossing 3
dangerous 2
day 2
days 2
dead 1
depends 1
determined 2
difficult 1
dolphins 2
dont 1
down 1
egg 1
elvira 3
enemy 1
ervys 4
ever 1
extremely 1
face 1
faro 5
feed 1
few 2
finds 1
fish 1
followers 1
for 1
free 1
friends 2
future 1
get 1
go 4
goes 2
going 1
granny 1
gulls 1
has 3
have 5
he 2
head 1
heal 1
hear 1
help 1
helping 1
her 5
his 1
home 1
house 4
however 1
human 1
if 1
in 2
ingo 4
injures 1
instead 1
into 1
is 3
it 6
journey 2
knows 1
later 3
leave 2
leaving 1
made 2
make 3
making 1
many 1
mer 3
most 1
moved 1
mum 1
must 3
neighbors 1
nesting 1
new 2
no 1
north 1
not 1
notices 1
ocean 1
of 5
office 1
often 1
old 2
on 3
one 1
or 1
out 1
outside 1
porth 1
prophesied 1
rainbow 1
ready 1
realize 2
recruits 1
right 1
roger 1
roof 1
sadie 2
saldowr 1
saphire 2
sapph 1
sapphire 8
sapphy 1
save 1
seagulls 1
seeing 1
sees 2
shark 1
sharks 1
she 1
south 1
start 2
starts 1
stepbrother 1
stopped 1
succeed 1
success 1
summary 1
sure 1
swim 1
take 1
takes 1
tells 1
that 4
the 26
their 8
them 5
then 4
they 13
through 2
throw 1
to 19
unfinished 1
up 1
vet 1
visit 1
wants 2
when 1
who 1
why 1
will 1
with 3
wonders 1
world 2
young 1
