6468064
/m/0g6h4f
/m/0g6h4f
Joan Didion

a 3
absurd 1
act 1
admits 1
although 1
amateur 1
american 2
an 3
and 5
another 1
answers 1
anthropologist 1
apart 1
are 1
around 1
as 1
attempts 2
be 1
been 1
behavior 1
beloved 1
berkeley 1
biochemistry 1
boca 2
book 1
both 2
but 1
by 2
central 1
character 1
charlotte 3
claude 1
clearcut 1
crusading 1
cut 1
daughter 2
disappearance 1
dominate 1
douglas 1
edition 1
elsewhere 1
expatriate 1
fail 1
fallen 1
families 1
family 1
father 1
final 1
find 1
four 1
franklin 1
from 1
grace 4
grande 2
group 1
has 2
have 1
her 3
human 1
i 2
in 4
into 1
is 3
issued 1
later 1
lawyer 1
library 1
limited 1
line 1
lvistrauss 1
marin 2
marriage 1
married 1
marxist 1
mendanas 1
mysteries 1
narrated 1
not 3
novel 3
of 8
off 2
one 1
or 1
part 1
people 1
politics 1
radicals 1
remains 1
run 1
scientific 1
she 1
signed 1
sojourning 1
strassermendana 1
study 1
taken 1
terrorism 1
that 2
the 11
this 1
three 1
ties 1
to 4
took 1
trained 1
uncomprehending 1
under 1
up 1
wake 1
wanted 1
was 2
who 1
with 1
witness 1
woman 1
