5109121
/m/0d31dk
/m/0d31dk
Sharon Creech
1998-09-30
a 11
able 1
adventures 1
after 1
again 1
air 1
also 2
america 2
an 3
and 15
another 1
are 3
around 1
as 1
at 4
attempts 1
aunt 2
aunts 1
avalanche 1
away 1
back 3
because 2
becomes 1
befriends 1
begins 1
belen 1
boarding 1
both 1
boy 1
brother 1
but 4
by 2
changes 1
choice 1
closet 1
come 2
communicate 1
community 1
complaining 1
dad 1
decision 1
diary 1
dinnie 13
diverse 1
doone 1
during 1
each 1
employed 1
end 1
ending 1
entries 1
environment 1
exciting 1
fall 1
family 1
fantastico 1
father 1
feels 1
fell 1
first 1
for 3
force 1
friend 1
friends 1
from 1
full 1
funloving 1
get 1
gets 1
girl 3
give 1
go 2
goingaway 1
group 1
guthrie 2
happening 1
has 4
have 1
having 1
headmaster 1
her 17
home 4
however 1
husband 1
in 8
informing 1
international 1
intersperced 1
into 1
is 7
it 1
italian 1
jail 1
japanese 1
joined 1
keeps 1
keisuke 1
know 1
later 1
life 1
likes 1
lila 3
local 1
locate 1
lot 1
love 1
make 1
makes 1
many 1
mari 1
married 1
maternal 1
max 1
most 1
named 3
never 2
new 2
nice 1
night 1
not 1
novel 1
of 9
older 2
on 1
one 2
or 1
other 1
own 1
parents 1
party 1
paternal 1
permanent 1
permanently 1
person 1
place 1
postcards 1
pregnant 1
progresses 1
really 1
recovery 1
relationship 1
remaining 1
return 1
road 1
routine 1
said 1
saved 1
school 2
seems 1
sees 1
settled 1
she 6
signs 1
sister 1
skis 1
so 1
someday 1
spanish 1
spent 1
spontaneous 1
stability 1
starts 1
states 1
still 2
student 1
summer 1
supportive 1
survive 1
switzerland 1
taken 1
that 3
the 16
their 2
them 2
then 1
they 1
things 1
this 1
thrive 1
thus 1
to 10
transiently 1
trapped 1
traveling 1
two 1
uncle 3
united 1
until 1
up 1
using 1
various 1
wants 1
was 1
watched 1
what 2
where 3
who 2
whole 1
will 1
window 1
with 2
world 1
year 2
yet 1
