6800115
/m/0gpkmg
/m/0gpkmg
Tamora Pierce
2001-04
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
affairs 1
after 1
all 1
an 1
and 1
are 2
as 4
at 1
attempt 1
atteneh 1
away 1
be 1
briar 6
but 1
can 1
chammur 2
comes 1
discovers 3
doa 1
evvy 3
finally 1
first 1
former 1
from 1
further 2
gang 2
gangs 1
girl 1
gradually 1
hand 1
have 1
he 3
helping 1
her 5
him 2
himself 2
his 1
in 4
increase 1
interest 1
investigates 1
investigation 1
is 1
it 1
jebilu 1
kidnap 2
known 1
lady 1
learns 1
local 4
locals 1
mage 2
magic 1
many 1
noblewoman 1
not 2
of 2
own 1
pet 1
powers 1
rat 1
realizes 1
refuses 1
rescue 1
riches 1
roaming 1
rosethorn 1
runs 1
she 2
should 1
singularly 1
so 1
stone 3
stoneslicer 1
streets 1
study 1
takes 1
teacher 1
tends 1
territory 1
that 2
the 7
their 1
they 1
through 1
times 1
to 6
training 1
treet 1
trust 1
use 1
vipers 4
when 2
while 2
with 2
zenadia 1
