3979861
/m/0b9v39
/m/0b9v39
James Jones
1951
{"/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
141 1
a 4
affair 1
all 1
altered 1
an 2
and 9
are 2
as 2
at 2
autumn 1
barracks 1
because 1
become 1
becomes 1
begins 1
between 1
blinded 1
bobby 1
box 1
boxing 1
bugler 1
captain 1
career 1
central 1
characters 1
company 2
companys 1
cook 1
corporal 1
daily 1
dana 1
does 1
dynamite 1
e 1
essentially 1
eternity 1
features 1
fellow 1
fife 1
first 1
follows 1
for 1
former 1
from 2
g 1
ground 1
hawaii 1
hazing 1
he 1
heart 1
here 1
him 1
his 3
holmes 2
ii 1
in 8
including 1
infantryman 1
into 1
johnny 1
jones 1
karen 1
kentucky 1
landers 1
lee 1
lies 1
line 2
man 1
marion 1
mart 1
maylon 1
members 1
milt 1
mother 1
names 1
noncommissioned 1
novel 1
novels 1
of 5
officers 1
outfit 1
prell 1
prewitt 3
private 1
reappears 1
red 2
refuses 1
resists 1
ritual 1
robert 1
run 1
schofield 1
selfdescribed 1
sergeant 1
set 1
several 1
similar 1
similarly 1
soldier 2
somewhat 1
stark 1
storm 1
story 1
strange 1
struggle 1
stubborn 1
summer 1
superiors 1
the 13
their 1
then 2
thin 2
thirtyyear 1
though 1
three 1
to 2
treatment 1
war 1
warden 2
welsh 1
which 1
while 1
whistle 2
who 3
wife 1
winch 1
with 1
witt 1
world 1
