6342228
/m/0g1y1k
/m/0g1y1k
Brian Killick
1973
160s 1
a 3
about 1
advantage 1
also 1
an 1
and 7
announcement 1
announces 1
appointment 1
are 1
arms 9
armsndashthe 1
arrested 1
arson 1
as 2
at 3
awaits 1
bankruptcy 1
be 2
befallen 1
begins 5
blackmail 1
body 1
book 3
brief 1
burden 1
business 1
but 1
by 2
calculating 1
caught 1
cause 1
cecil 3
chances 1
chapter 1
chester 1
colleague 1
college 6
commit 1
competition 1
competitors 1
confusion 1
continue 2
coveted 1
current 1
decides 2
demoralized 1
depleted 1
describing 1
devising 1
did 1
died 1
disgraced 1
diverse 1
doubling 1
duties 1
dutiful 1
each 1
efforts 1
eliminating 1
elimination 1
end 3
england 1
entire 1
fellow 1
first 1
focus 1
for 3
four 1
from 1
garter 4
gascoigne 5
governments 1
grasping 1
had 1
has 1
have 2
he 4
head 1
herald 1
heralds 1
him 1
his 10
however 1
ii 1
illegal 1
immediately 1
in 5
include 1
inevitable 1
intended 1
into 2
introduction 1
is 3
its 1
king 4
knowing 1
lasting 1
late 1
led 1
list 1
methods 1
monarchs 1
months 1
murder 1
nature 1
ndash 1
not 2
obtaining 1
of 19
office 1
officers 4
on 2
only 1
ordinary 1
other 1
over 1
own 2
post 1
principal 1
problems 1
promotion 1
rest 1
retirement 1
retiring 1
rewarded 1
service 1
set 2
shifts 1
short 1
shoulder 1
since 1
six 1
slowly 1
smuggling 1
some 1
spot 1
staff 1
stop 1
substances 1
successive 1
surely 1
that 4
the 25
their 2
thinking 1
though 1
through 1
throws 1
time 2
to 5
top 1
twelve 1
unfortunate 1
using 1
war 1
who 1
will 2
with 2
world 1
