7186250
/m/025vhxn
/m/025vhxn
Louise Erdrich
1984
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 2
10 2
11 2
12 1
13 1
134 1
14 1
148 1
15 1
157 1
15yearold 1
16 1
17 1
173 1
174 1
18 3
180 1
181 1
182 1
185 1
1st 2
2 1
200 2
3 1
4 1
5 3
6 3
7 4
8 2
a 25
about 9
accidentally 1
acquainted 2
adopted 2
adults 1
affair 3
after 3
afterward 1
again 2
aides 1
albertine 6
albertines 1
alcoholism 2
all 3
altering 1
always 4
an 3
and 59
are 3
around 1
as 7
asks 1
assumed 1
at 2
aunt 1
away 3
back 5
backseat 1
be 6
bear 2
because 5
become 2
before 3
begin 1
begins 1
begun 1
being 1
between 2
beverly 3
bia 1
bingo 1
blessed 1
book 1
boom 1
bought 1
branching 1
brother 1
brothers 1
building 1
buried 1
burning 1
burns 2
but 9
by 9
called 1
canada 1
car 2
care 1
cataracts 1
caution 1
centered 1
central 1
changed 1
chapter 20
chapters 5
child 1
childhood 2
children 2
chokes 1
chooses 1
city 1
claim 1
claiming 1
closes 1
community 3
completely 1
complexities 1
confesses 1
controlling 1
convent 1
could 2
cousin 2
crushed 1
dakota 1
day 1
dead 1
deals 1
death 6
decides 3
deer 2
deleted 1
demands 1
demolished 1
did 2
didnt 1
dies 2
difficult 1
does 1
down 2
drives 1
drunk 2
drunkenly 1
during 2
dying 1
earlier 1
eat 1
eats 1
edition 2
either 1
eli 1
end 1
ending 1
ends 1
entered 1
enters 1
entire 3
entitled 1
erdrich 1
escape 1
escapee 1
eventually 1
every 1
everyone 1
except 1
expansion 1
explains 1
explores 1
extended 1
extreme 1
eye 1
facility 1
fact 1
factory 2
faithful 1
family 4
faster 1
father 3
favorite 1
felt 1
female 1
find 1
first 6
five 2
focus 1
focuses 1
following 1
for 8
forgets 2
found 1
frequent 1
friends 1
friendship 1
from 7
funeral 2
furious 1
gain 1
gathers 1
geese 1
gerry 5
get 1
gets 1
ghost 1
gifts 1
girlfriend 1
go 1
goes 4
going 1
goose 2
gordie 4
gordies 1
got 1
gradually 1
grand 1
grandmother 1
grandson 1
grieved 1
growing 1
grows 1
had 1
hadhave 1
hair 1
halfbrother 1
hallucinates 1
happened 1
happens 1
has 7
have 1
he 18
healing 1
heart 3
help 1
henry 8
henrys 1
her 18
higher 1
him 10
himself 1
his 14
history 1
home 6
house 3
how 2
husband 1
i 3
idea 1
if 1
ignores 1
in 28
indian 1
infidelity 1
informing 1
insight 1
instead 2
into 2
invite 1
ironically 1
is 23
it 3
its 2
johnson 2
jr 6
jrs 1
jumps 1
june 6
junes 2
kashpaw 3
kashpaws 1
kashpawspillagersnanapushes 1
killed 1
king 2
knows 1
lamartine 6
last 1
later 5
lazarre 1
learn 7
leave 2
leaves 1
leaving 1
left 2
legal 1
letter 3
life 1
like 3
liked 1
lipsha 12
little 1
living 1
lose 2
loses 1
love 6
lulu 18
lulus 4
lyman 8
lymans 1
made 1
main 1
make 1
male 1
man 3
many 2
marie 24
maries 1
married 2
marry 1
marrying 1
mate 1
matriarchs 1
me 1
medicine 5
meets 2
members 1
men 1
midewiwin 1
might 1
mind 1
months 1
more 1
morrissey 2
moses 2
mother 3
motherinlaw 1
mourn 1
mouth 1
move 1
moved 1
my 1
nanapush 2
nanapushs 1
naturally 1
nearly 1
nector 19
neither 1
never 3
new 1
niece 1
night 3
nor 1
north 1
not 3
note 1
novel 3
nun 2
nursing 1
occur 2
occurs 1
of 18
off 2
offers 1
often 1
oil 1
old 1
on 7
once 1
one 2
only 1
opening 1
opens 1
or 2
others 1
out 4
panics 1
parentage 1
parenthood 1
part 2
person 4
perspective 2
perspectives 1
pillager 1
pillagers 1
place 1
plot 1
point 1
police 1
policy 1
politics 1
possibly 1
power 2
prison 1
prisoner 1
produce 1
ps 1
put 1
putting 1
rage 1
raised 1
really 1
reasons 1
reassigned 1
receives 1
receiving 1
recounts 2
recovery 1
refers 1
refused 1
refuses 2
relatively 1
removal 1
reservation 3
result 1
retirement 3
returned 1
returning 1
returns 1
riot 1
river 1
road 2
running 2
runs 3
rushes 2
save 2
says 2
second 2
section 1
seduced 1
see 1
sees 1
set 1
sets 1
sex 1
she 11
shoots 1
short 1
should 1
shows 2
sickness 1
side 1
smacks 1
snow 1
so 1
son 6
speak 2
special 1
station 1
stories 1
storm 1
story 1
subsequent 1
subsequently 2
surgery 1
swallow 1
swallowing 1
take 1
takes 2
taking 1
taunts 1
tells 4
than 1
that 12
the 64
their 1
then 1
they 3
thing 1
things 1
thinking 1
thinks 1
this 4
through 3
to 46
together 1
told 1
tone 1
touch 1
toward 1
town 1
tragic 1
triangle 2
trip 1
trips 1
try 1
trying 1
turning 1
turns 1
two 4
unbearable 1
unbeknownst 1
unexpected 1
up 4
used 1
very 2
virginity 1
visit 2
voice 1
waits 1
walk 1
wanted 1
wants 1
war 1
warms 1
was 4
we 8
weigh 1
welcome 1
wellknown 1
went 2
were 3
when 7
where 3
which 2
while 2
who 5
wilderness 1
will 1
williston 1
with 11
women 1
work 1
workers 1
working 1
world 2
would 1
year 2
years 5
yet 1
you 1
young 3
