5199767
/m/0d7gvt
/m/0d7gvt
Georgette Heyer
1959
{"/m/02p0szs": "Historical fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/03xwcv": "Regency romance", "/m/0c3351": "Suspense"}
a 13
accent 1
accepts 1
actually 1
all 3
already 1
also 1
among 1
an 2
and 21
anthea 5
appalled 1
apparent 1
apparently 1
applies 1
are 5
armymad 1
arrives 1
as 1
assumed 1
at 7
attitude 1
aurelia 1
be 3
because 2
becomes 1
begs 1
being 3
best 1
bloodloss 1
bored 1
both 1
bought 1
bribes 1
buildings 1
bullying 1
by 4
cards 1
children 1
choreographed 1
claud 5
clearly 1
commission 1
considered 1
contact 1
customs 2
dandy 1
darracott 8
daughter 1
deceive 1
desire 1
disconcerted 1
discourages 1
discovery 1
display 1
do 1
dower 1
drunk 1
earned 1
ease 1
eats 1
educate 1
elvira 1
emerges 1
enormous 1
expecting 1
fact 1
family 5
far 1
farcical 1
farms 1
favourite 1
fears 1
feels 1
fellow 1
figure 1
financial 1
financially 1
find 1
for 1
from 5
golddigger 1
gormless 1
grandchildren 2
grandfather 4
grandson 1
had 1
halffalling 1
harroweducated 1
has 2
haunted 1
having 1
he 4
heir 1
her 4
him 4
his 12
home 1
house 1
hugely 1
hugo 8
illmaintained 1
immediately 1
impoverished 1
impressed 1
in 6
indeed 1
influential 1
into 1
inventiveness 1
is 15
it 4
itself 1
joining 1
keep 1
kept 1
knife 1
lady 1
lands 1
leave 1
looks 1
lord 3
lower 1
main 1
maintained 1
mamas 1
man 3
marry 1
matchmaking 1
matthew 1
middleclass 1
millowner 1
mother 1
much 1
no 1
not 3
nothing 1
oblige 1
obligingly 1
of 6
off 1
offer 1
officer 1
officers 1
older 2
on 1
or 1
order 1
other 1
pains 1
place 4
playing 1
politician 1
positive 1
pressure 1
pretending 1
protect 1
puts 1
quite 1
rapidly 1
rather 1
realising 1
reputed 1
result 1
results 1
reveals 1
rich 1
richmond 6
ridiculous 1
rupert 1
scene 1
see 1
servant 1
she 1
since 1
single 1
smuggling 2
so 1
son 1
sons 1
started 1
status 1
straightforward 1
strength 1
suffering 1
suggestion 1
sussex 1
tenants 1
than 1
that 6
the 13
their 1
they 2
things 2
this 3
three 1
to 13
towards 1
ultimately 2
uncle 2
unimpressed 1
vincent 4
waiting 1
wealthy 1
weaver 1
when 1
which 2
while 1
who 3
widow 1
wife 1
wishes 1
with 3
working 1
yorkshire 1
young 2
