4681195
/m/0ch0h_
/m/0ch0h_
Sam Shepard


1500 2
4h 1
a 36
able 1
about 11
act 4
add 2
after 6
again 1
age 1
agrees 1
alaska 1
alibi 2
all 5
alone 1
along 1
already 2
also 2
always 1
amount 1
an 3
and 104
angry 3
antsy 1
any 2
are 7
arent 1
argue 1
argument 2
around 3
arrested 1
artichokes 3
as 5
ask 1
asks 8
asleep 2
association 1
at 8
avocado 1
away 3
back 7
bag 1
bath 1
bathing 1
be 6
beaten 2
because 9
becomes 2
becoming 2
been 6
before 4
began 1
begin 2
beginning 1
begins 12
being 1
believes 1
belly 1
benefits 1
best 2
big 2
blood 1
blown 1
boiled 2
boiling 1
bought 1
breakfast 2
breaking 1
brick 1
briefly 1
bright 1
bring 1
broke 1
broken 1
build 1
building 1
business 2
but 8
butchered 1
butter 1
buy 2
buyer 1
by 6
calling 1
calm 2
came 1
can 2
cannot 2
cant 1
car 3
carcass 3
carrying 1
cash 3
castrating 1
cat 5
caused 1
cells 1
certain 1
changing 1
cheering 1
chest 1
chicken 4
chooses 1
city 1
class 2
clawing 1
clean 2
cleaned 1
clearly 1
close 1
clothes 2
club 4
coffee 1
collapses 1
come 3
coming 1
compares 1
comparing 1
concerned 1
considered 1
continues 1
conversation 1
convince 1
could 1
court 1
covered 1
coyote 1
crazy 1
crime 1
crop 1
curse 2
cut 1
cycle 1
daughter 1
day 1
dead 1
deal 1
decided 1
decides 1
decision 1
declares 2
deduces 1
deed 2
deliver 1
department 1
desert 2
developers 1
did 1
didnt 1
die 1
discuss 4
diving 1
do 5
does 2
doesnt 4
done 2
doom 1
door 6
down 9
downtown 1
dragged 1
drank 1
dream 1
dreams 1
dressed 1
drop 1
drunk 1
drunken 1
drunker 1
during 3
eagle 7
eagles 1
eating 1
eggs 1
either 1
element 1
ella 37
ellis 2
else 1
emerson 2
emma 44
emmas 3
enclosure 2
end 1
ends 1
enough 2
enraged 1
enters 13
escape 1
essence 2
europe 3
even 2
events 1
every 1
everyones 1
everything 1
exactly 1
exits 2
explain 1
explains 2
explosion 2
explosive 1
fall 1
falling 1
falls 1
family 4
father 6
fathers 3
fed 1
feel 1
feign 1
fellas 1
felt 1
fighting 1
finally 2
finds 1
finish 1
first 2
fix 1
fixed 1
flash 1
floor 1
focusing 1
folded 1
food 4
foods 1
for 17
force 1
found 2
frightened 1
from 11
front 1
frying 1
full 3
furious 1
genetics 1
get 3
gets 2
giggling 1
give 1
go 12
goes 7
going 7
gone 1
gorge 1
got 1
groceries 3
ground 1
grower 1
growers 1
grumpy 1
guard 1
guts 1
had 2
hand 1
happen 1
happened 2
happens 2
happy 1
hard 2
has 18
have 4
having 1
he 45
heard 1
hell 1
help 2
helping 1
her 33
hes 1
him 23
himself 1
his 16
holding 1
holds 1
holes 1
home 2
homebuyers 1
horse 6
house 14
how 6
however 1
hyde 1
if 3
important 1
impression 1
in 22
incompetent 1
innocence 1
inside 2
insisting 1
instead 2
interest 1
into 11
invasion 1
is 47
it 25
its 2
jail 2
jekyll 1
joins 1
just 2
kill 1
killed 1
kitchen 4
knock 1
know 1
lamb 12
lambs 1
land 2
large 1
laundry 4
lead 1
leave 3
leaves 7
