7278162
/m/025y0rn
/m/025y0rn
Joan Bauer
2000
{"/m/03mfnf": "Young adult literature"}
a 25
able 2
about 2
addie 7
adopts 1
after 2
against 2
aka 1
all 3
along 1
also 2
always 2
amusement 1
anastasia 3
and 23
are 2
area 1
as 5
ask 1
at 9
attacked 1
attempt 1
aunt 3
baby 1
be 4
beal 1
beaten 1
because 4
become 1
been 2
before 1
befriends 1
begins 1
besides 1
blue 1
boards 1
books 2
boss 1
bottle 1
box 1
boy 1
brain 1
braverman 8
bravermanhope 1
brenda 1
bring 1
brooklyn 1
brusquely 1
bus 1
but 6
by 3
campaign 4
can 1
cancer 1
cannot 1
causes 2
changed 1
changing 1
chef 1
city 1
closes 1
college 1
company 3
consider 1
convince 1
cook 2
corrupt 1
couple 1
cracking 1
current 2
dairy 1
date 2
dating 2
daughter 2
decide 2
decided 1
decides 1
deena 2
deputy 1
did 1
dies 1
diner 6
discover 1
discovers 1
disliked 1
down 1
drink 1
during 1
eat 1
eddie 1
election 2
eli 1
ellen 4
encouraged 1
every 1
exchange 1
father 4
feels 1
feet 1
few 2
filled 1
finally 2
flo 1
for 6
form 1
fresh 1
from 3
gabriel 1
getting 1
give 1
given 1
gleason 1
goal 1
going 1
goodbye 1
group 2
gt 16
has 8
he 4
help 2
her 19
here 1
herself 2
high 1
highway 1
him 6
his 9
home 1
hope 20
however 1
huge 1
idea 1
ill 2
illegal 1
immigrant 1
in 8
initially 1
interest 1
is 9
keeping 1
keeps 1
kindhearted 1
later 2
leave 1
leaving 1
lets 2
leukemia 3
life 1
line 1
list 1
lives 2
looking 1
loses 1
lot 2
lou 4
man 1
many 1
marries 1
mayor 4
meanwhile 1
meets 2
memory 2
menu 1
millstone 5
money 1
mother 2
move 1
moved 1
much 1
mulhoney 2
must 1
name 2
named 3
never 1
new 2
night 1
no 1
not 4
noticeable 1
now 1
nursery 1
obtrusive 1
of 15
off 1
office 1
officially 2
on 2
one 2
organization 1
other 1
out 2
over 1
owner 1
parent 1
participation 1
pay 2
people 2
place 2
playbyplay 1
political 1
positively 1
power 1
problems 1
programs 1
pull 1
real 2
reform 1
reforms 1
refuses 2
reminds 1
remission 1
responds 1
restaurant 2
returns 1
rigged 1
roads 1
routes 1
rumor 1
run 2
russian 1
saying 1
school 1
scrapbook 2
sets 1
she 14
sheriff 1
shows 1
since 1
small 1
smalltown 1
so 2
somewhere 1
southern 1
spread 2
spreads 1
started 1
stole 1
stoop 2
students 2
succeed 1
success 1
such 1
suitable 1
support 3
supporters 1
supports 1
taxes 1
teenager 1
teens 1
tells 1
test 1
thanks 1
that 10
the 32
then 1
they 4
thinks 2
this 1
thomas 1
time 1
to 23
told 1
townspeople 2
truth 1
tuition 1
tulip 1
twelve 1
two 2
until 1
up 2
using 1
very 1
voters 1
waitress 1
waitresses 1
wary 1
was 4
watching 1
way 1
weeks 1
when 4
where 2
which 2
who 8
whole 1
will 1
window 1
wisconsin 1
with 4
work 3
workers 1
works 4
would 1
writes 1
writing 1
yancey 2
years 1
young 1
yuri 1
