7629770
/m/026779h
/m/026779h
Stephen Gray
1988
{"/m/05hgj": "Novel"}
a 14
about 4
ache 1
africa 1
after 4
again 1
age 1
agrees 1
airport 1
all 2
also 1
always 1
an 2
and 20
andr 6
another 1
apartheid 1
appears 1
arose 1
aroused 1
as 2
asking 1
at 4
attendant 1
back 2
bath 2
be 2
become 1
bed 3
bedroom 1
being 1
black 2
blackmail 1
blacks 1
body 1
bone 1
boy 4
boys 1
brought 1
but 4
by 2
called 1
can 3
cant 1
ceremony 1
changes 1
child 1
climbs 1
clothes 1
coach 1
coaching 1
corner 1
corruption 1
crept 1
days 1
deed 1
deliberately 1
dies 1
disappears 1
discovers 2
disley 11
dismissive 1
door 1
drawn 1
due 2
ends 1
enjoyment 1
entirely 1
experience 1
explaining 1
finally 1
find 2
finish 1
fit 1
flight 1
followed 1
for 2
found 1
friends 1
from 2
furious 1
gay 1
gets 1
given 1
go 3
goes 1
going 1
goodnight 1
guilt 1
happen 1
has 3
have 2
havent 1
he 11
heterosexual 1
him 3
himself 1
hints 1
his 9
home 1
i 3
id 1
if 1
illegal 1
impromptu 1
improves 1
in 6
intimately 1
into 2
irretrievably 1
is 8
it 2
item 1
jenny 2
jest 1
jumper 1
kiss 1
kneading 1
knows 1
later 1
laundering 1
leaves 1
left 1
let 1
lifetime 1
little 1
look 1
loses 1
lost 2
lover 1
loves 1
macbeth 1
makes 1
making 1
matures 1
me 3
merciful 1
might 1
minors 1
modest 1
money 1
months 1
more 1
mother 1
next 1
not 1
note 1
novel 1
of 10
off 2
on 2
one 1
onetoone 1
over 3
overnight 1
own 1
parcel 1
performance 1
pete 14
pins 1
plane 1
polanski 1
police 2
position 1
possibility 1
prepares 1
prince 1
private 1
probably 2
prolonged 1
radical 1
ready 1
recognises 1
relative 1
rent 1
responds 1
returns 2
roll 1
roots 1
school 4
seduce 1
seduces 1
seduction 1
set 1
she 2
shoot 1
six 1
skin 1
skinny 1
so 3
some 2
south 1
specially 1
spotting 1
starts 3
stay 3
stroking 1
such 1
suffering 1
suggestively 1
suitcase 1
take 1
taken 1
teacher 1
teaching 1
than 1
that 7
the 19
them 2
then 1
they 3
thinking 1
thinks 2
this 4
time 1
to 14
townships 1
typical 1
under 1
unrest 1
untouchable 1
using 1
video 1
violent 1
virginity 1
warning 1
was 3
watching 1
what 2
when 1
where 1
who 1
wishfully 1
with 5
world 1
would 2
you 3
