1602528
/m/05fvc0
/m/05fvc0
Milan Kundera
1967
150s 1
165 1
167 1
a 10
alleged 1
altered 1
although 1
an 2
and 15
angry 1
appreciation 1
are 2
arises 1
as 3
at 1
atmosphere 1
away 1
back 1
be 1
become 1
believes 1
bitter 2
blame 1
break 1
brigades 1
but 1
cannot 2
career 1
changed 2
characters 1
christianity 1
class 1
colleagues 1
college 1
communist 2
composed 1
counterpoint 1
coveted 1
czech 1
czechoslovakia 2
dashing 1
decides 2
demonstrates 1
despite 1
did 1
do 1
drafted 1
due 1
during 1
early 1
effects 1
efforts 1
enthusiastic 1
essence 1
exacting 1
expects 1
expelled 1
expressed 1
fault 1
fellow 1
few 1
finds 1
first 1
folk 1
for 1
forces 1
form 1
former 1
four 1
friend 1
friends 2
from 5
girl 1
hands 1
has 3
have 1
he 6
healthy 1
helena 4
him 1
himself 2
his 11
historic 1
however 1
humans 1
humor 1
ii 1
in 14
inevitability 1
interruption 1
is 11
jahn 2
jaroslav 2
joke 4
jokes 2
just 1
kostka 2
leaders 1
led 1
left 2
life 1
lifestyle 1
like 1
live 1
long 1
looking 1
ludvik 12
many 1
married 1
matter 1
means 1
meets 1
military 1
mines 1
mood 1
moravian 1
more 1
most 1
motion 1
next 1
not 3
novel 4
of 16
on 3
once 1
one 1
opens 1
opium 1
opportunity 1
optimism 1
or 1
out 1
part 1
party 6
pavel 1
people 1
play 1
playful 1
plot 1
popular 1
postcard 3
postworld 1
prague 1
propels 1
published 1
purge 1
quite 1
really 1
redemption 1
regime 1
repercussions 1
revenge 2
satirical 1
scientist 1
search 1
second 1
seduce 1
seduction 1
see 1
sentiment 1
separated 1
serious 1
seriousness 1
serves 2
set 1
she 1
shortcomings 1
since 1
sit 1
sorts 1
spend 1
stillfresh 1
stinks 1
story 1
strong 1
student 1
stupidity 1
subversives 1
successful 2
summer 1
supported 1
supporter 1
supporters 1
that 3
the 36
their 2
them 1
then 1
these 1
things 1
think 1
third 1
this 2
thoughts 1
to 8
told 1
too 1
transition 1
treatment 1
trotsky 1
ultimately 2
victim 1
viewpoints 1
war 1
was 2
way 1
when 1
where 1
which 1
who 5
with 1
witty 1
work 1
working 1
writes 2
written 1
years 1
youngparty 1
zemanek 1
zemnkov 1
