408890
/m/024tgj
/m/024tgj
Edward Albee

1 1
50s 1
a 10
about 7
accumulated 1
act 1
admits 1
afraid 1
after 4
again 1
agnes 19
agness 2
alcoholism 1
all 5
allow 1
alone 2
although 1
an 1
and 45
announce 1
announces 2
announcing 1
answers 1
apologizes 1
appear 1
appears 1
apprehensive 1
are 8
aria 1
arms 1
as 2
ask 1
asked 1
asking 1
asks 2
astonished 1
astonishes 1
at 4
attempts 1
author 1
away 1
back 2
balance 1
bar 2
be 6
because 4
becomes 1
bedroom 1
been 2
before 1
being 1
belong 1
best 3
blocks 1
both 1
bring 1
broken 1
brother 1
brutal 1
brutality 1
but 4
by 2
can 1
car 2
care 1
cat 2
chides 1
circumstances 1
claire 7
claires 1
class 1
coats 1
cocktail 1
comes 3
coming 3
concerning 1
confirm 1
constantly 1
control 1
conversations 1
could 1
dark 1
daughter 1
day 1
daylight 1
death 2
decisions 1
declares 1
delivers 1
demons 1
deny 1
desire 1
despite 1
diatribe 1
died 1
dinner 1
discredits 1
discuss 1
discussing 2
disgusted 1
divorce 2
do 4
does 1
dont 2
door 2
down 1
drink 2
drinking 2
early 1
easily 1
edna 20
embarrassed 1
emotions 1
end 1
ends 1
enters 3
entire 1
even 1
everyone 2
everyones 1
everything 1
exclaims 1
excuse 1
exit 1
fact 2
finally 1
fix 1
for 4
force 1
forever 1
fourth 1
friends 4
frightened 1
from 6
fulcrum 1
full 1
get 1
getting 1
go 3
goes 2
going 3
grow 1
guest 1
gun 1
had 2
hand 1
harry 21
has 3
have 4
having 1
he 8
help 1
her 19
here 1
him 3
himself 1
his 1
home 5
hour 1
house 2
hysterics 1
i 2
if 4
ii 2
in 11
insists 3
inspires 1
intangible 1
irritated 1
is 16
issue 1
it 8
join 1
julia 17
julias 2
knock 1
knocked 1
knows 1
late 2
leave 2
leaves 1
let 2
lifestyle 1
liking 1
live 1
lives 1
losing 1
mad 2
madand 1
madness 1
maintained 1
make 1
making 1
marriages 1
matter 1
meals 1
mention 1
might 1
mind 2
mine 1
morning 2
most 1
mothers 1
must 1
namely 1
nature 1
need 1
needs 1
new 1
next 1
night 2
no 1
not 5
notes 1
occupying 1
of 15
old 1
on 5
once 1
opens 3
order 1
out 2
outto 1
over 1
own 3
people 1
play 2
point 1
possibility 1
predicts 1
pregnant 1
pressing 1
prevented 1
pursue 1
put 2
quite 1
raving 1
really 2
reappears 1
reassures 1
reenters 1
refers 1
regards 1
reminds 2
reminisces 1
responds 1
retorts 1
return 2
returning 1
reversed 1
right 1
rights 1
role 1
room 5
rumination 1
say 1
says 1
scathing 1
scene 2
script 1
senses 1
she 14
shortly 1
should 1
sister 2
sleep 3
something 1
son 2
spent 1
spite 1
stay 3
stayed 1
staying 1
still 1
stopped 1
story 1
such 1
suddenly 1
suitcases 3
suspects 1
take 1
talk 1
teases 1
tells 5
that 27
the 38
their 11
them 4
then 1
there 9
they 11
think 1
this 1
thoughts 1
time 3
to 28
tobias 19
tobiass 3
toby 1
too 2
unfaithful 1
unload 1
unreal 1
up 2
upper 1
us 1
versions 1
want 4
wants 1
was 1
we 4
were 1
what 5
when 5
which 1
while 1
whines 1
who 3
why 1
will 3
with 12
woman 1
women 1
would 1
yells 1
you 3
young 1
