1671094
/m/05m5rv
/m/05m5rv
Dean Koontz
1983-03
{"/m/01jfsb": "Thriller", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 8
able 2
absorbs 1
academic 1
addition 1
after 1
aided 1
alarmed 1
alarming 1
alive 1
amoeboid 1
an 1
ananda 1
ancient 2
and 9
are 5
as 4
author 1
bacteria 2
before 1
biological 1
bodies 1
body 1
book 2
brain 1
british 1
built 1
but 1
by 1
california 1
call 1
can 1
capacity 1
catalogs 1
caused 1
causing 1
cells 1
center 1
centuries 1
chakrabarty 1
civilization 1
clue 1
come 1
consumed 1
consumes 2
core 1
create 1
creations 1
creature 4
creatures 1
death 1
deaths 1
describes 1
destroy 1
devastating 1
different 1
dinosaurs 1
disappearances 1
discovered 1
discovering 1
doctor 1
does 1
effects 1
either 2
enemy 4
etc 1
extinction 1
feeds 1
few 1
finally 1
find 2
finds 1
flyte 2
form 1
forms 2
forth 1
fossil 1
from 1
fuels 1
geneticallymodified 1
ghost 1
girls 1
go 1
great 1
growing 1
he 1
help 2
hibernating 1
him 1
his 1
hive 1
hometown 1
hunt 1
imitating 1
in 7
increase 1
investigations 1
is 4
it 5
its 4
jenny 4
kill 1
killed 1
life 2
lisa 1
located 1
main 1
managed 2
manages 1
many 1
mass 3
mayan 1
mental 1
military 1
mimic 1
mind 1
mirror 1
mohan 1
molecular 1
moments 1
more 2
mountains 1
mutilated 1
mysterious 2
name 1
neighboring 1
nestled 1
no 1
nucleus 1
obeying 1
of 13
oileating 1
on 1
one 2
only 2
or 4
orders 1
organ 1
other 2
over 2
paige 1
parts 1
people 1
perfectly 1
phantoms 1
place 1
police 3
prey 1
probes 1
rarely 1
reallife 1
request 1
resort 1
return 1
reveal 1
roanoke 1
scientists 1
shapeshifter 1
ships 1
sierranevada 1
similar 1
sisters 1
situation 1
ski 1
small 2
snowfield 1
some 1
strange 1
structure 1
that 2
the 30
theorized 1
they 1
this 2
those 1
timothy 1
to 13
together 1
town 4
trying 1
two 1
unit 1
upon 1
use 1
vanishings 2
various 1
victim 1
village 1
vital 1
was 5
well 1
what 1
whatever 1
when 1
where 1
works 1
world 1
write 1
