462297
/m/02cfvm
/m/02cfvm
Dennis Lehane
2001-02
25 1
a 6
abducted 1
again 1
an 1
and 7
are 2
around 2
as 1
assigned 1
become 1
blood 1
book 1
boston 1
boyle 1
boys 1
brutally 1
by 2
caught 1
child 1
childhood 1
city 1
comes 1
convenience 1
covered 1
currently 1
daughter 1
dave 5
days 1
detective 1
devine 1
disappears 1
each 1
emotionally 1
escapes 1
exconvict 1
experience 1
forward 1
found 1
friends 2
grow 1
has 1
he 1
his 2
home 2
homicide 1
horsing 1
in 4
investigate 1
is 4
jimmy 4
later 1
lives 1
man 1
marcus 1
molesters 1
moves 1
murder 1
murdered 1
neighborhood 1
night 1
novel 1
of 1
on 1
opens 1
other 1
owns 1
park 1
returns 1
revolves 1
same 1
sean 4
see 1
shattered 1
shell 1
store 1
story 1
street 1
that 1
the 5
then 1
three 2
to 2
up 2
we 1
when 1
while 1
who 2
wife 1
years 1
