13944463
/m/03cnzgh
/m/03cnzgh
Julio Cortázar
1967

0 2
01 2
03 2
05 2
1 1
10 1
111266 1
13 1
14 1
17 1
a 6
about 1
action 1
al 1
and 4
antonin 1
aouda 1
aragon 1
around 1
arrival 1
art 2
artaud 1
astre 1
benjamin 1
by 1
cafe 1
caress 1
cet 1
chapter 12
charlie 1
clifford 1
cloak 1
da 1
dada 1
dance 2
dedicated 1
dedication 1
descendant 1
dick 1
drawing 1
duchamp 2
edition 1
emerge 1
en 1
encore 2
escalier 1
esla 1
exhibition 1
fall 1
first 1
fogg 1
for 2
girl 1
happenings 1
happens 1
he 1
higgins 1
how 2
i 2
ii 1
in 2
is 1
it 1
jeanjacques 1
jorge 1
jules 2
julio 1
julios 1
knife 1
kudo 1
laforgue 1
lawful 1
le 2
lebel 2
lester 1
lezama 1
lima 1
mallarm 2
man 1
marcel 2
memoir 1
minerva 1
mini 1
monde 2
monk 1
most 1
moulin 1
mundos 1
museum 1
music 1
neruda 1
no 1
nobel 1
nu 1
ochenta 1
of 4
offending 1
omnibus 1
on 1
order 1
pablo 1
paik 1
painting 1
paris 1
parker 1
passepartout 1
patterson 1
philadelphia 1
phileas 1
photograph 1
piano 1
playing 1
poem 2
preintroductory 1
profound 1
ray 1
robert 1
san 1
saw 1
shirtless 1
shmidt 1
short 1
smiler 1
starts 1
story 1
stphane 1
tetsumi 1
the 10
thelonious 1
theme 1
then 1
this 1
thomas 1
thursday 1
to 4
tombeau 1
touching 1
trumpet 1
un 1
under 1
verne 1
volume 2
vuelta 1
what 1
with 2
without 1
young 1
