2418489
/m/07bpx9
/m/07bpx9
Helen Barnes
1999-05-01
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 5
abruptly 1
absence 1
acceptance 1
achieving 1
age 1
also 1
an 2
and 7
are 1
as 1
associated 1
at 1
attend 1
attended 1
attending 1
aunt 1
aurora 5
author 1
be 1
becomes 1
been 1
bitter 1
book 1
both 1
by 1
central 1
characters 1
college 1
concerned 1
connection 1
contains 1
desperately 1
despite 1
disappearing 1
dymphna 3
endures 1
environment 1
expectations 1
fact 1
family 2
father 1
first 1
for 1
forced 1
fourteen 1
friend 1
from 2
girls 1
grandfather 1
guidance 1
has 1
having 1
her 5
high 1
in 3
increasingly 1
is 3
king 1
ladies 1
life 1
living 1
losing 1
macrobertson 1
many 1
means 1
meanwhile 1
melbourne 1
mother 3
need 1
nondenominational 1
novel 1
of 5
older 1
on 1
only 1
outcast 1
overbearing 1
overprotective 1
own 1
parent 1
peers 1
pressure 1
prestigious 1
prickly 1
queen 1
rabbit 2
references 1
reluctance 1
rely 1
richardson 1
rigorous 1
same 1
scant 1
school 3
second 1
selective 1
share 1
single 1
sister 1
social 1
st 3
standards 1
stepfather 1
stop 1
struggling 1
suggest 1
terribly 1
that 2
the 15
there 1
this 1
thorpe 1
throughout 1
time 1
timid 1
to 6
tries 1
two 1
under 1
unfamiliar 1
unpopular 1
up 1
volatile 1
web 5
weight 1
with 3
without 1
years 1
