3200770
/m/08ywr2
/m/08ywr2
Jun'ichirō Tanizaki

a 10
affair 3
after 1
agrees 1
all 1
allows 1
an 1
and 5
another 1
are 2
around 1
arrival 1
art 1
as 1
at 2
attempts 2
attends 1
awakens 1
away 1
back 1
barely 1
be 1
beautiful 1
bed 1
been 1
begin 1
begins 1
betrayal 1
both 1
but 4
by 2
chance 1
classes 1
closer 1
comes 1
comfortably 1
complicated 1
continue 1
covering 1
dissuaded 1
doomed 1
dose 1
drawing 1
drawn 1
effeminate 1
eijiro 1
end 1
evening 1
event 1
falls 1
far 1
few 1
fiance 1
fiery 1
figure 1
final 1
find 1
finds 1
for 1
forge 1
form 1
friendship 1
from 2
get 1
had 1
has 2
have 1
having 2
he 2
head 1
her 11
herself 2
him 1
house 1
however 1
husband 2
impotent 1
in 4
infatuation 3
insists 1
intended 1
intercourse 1
invites 1
is 4
it 1
kakiuchi 1
kill 1
knowing 1
knows 1
kotaro 6
lesbian 1
lives 1
local 1
manipulating 1
marry 1
meanwhile 1
meetings 1
mired 1
mitsuko 12
mnage 1
narrated 1
not 1
notice 1
novel 1
now 1
nude 1
of 4
on 1
one 1
osaka 1
out 1
pact 1
poison 1
poisonlaced 1
pose 1
powder 1
proceeds 1
put 1
quicksand 1
realizing 1
refuses 1
reveals 1
rips 1
rumors 1
school 2
sealing 1
sense 1
sexual 1
she 4
sheet 2
sleeping 2
sometime 1
sonoko 11
soon 1
spell 1
spread 1
start 1
story 1
student 1
suicide 1
taken 1
tension 1
that 5
the 14
their 1
them 1
themselves 1
they 1
things 1
though 1
three 1
thus 1
title 1
to 14
together 1
too 1
trois 1
two 1
under 1
unless 1
up 1
wakes 1
watanuki 2
well 1
when 2
which 1
will 2
with 8
withheld 1
woman 1
women 1
young 2
