766897
/m/039rvr
/m/039rvr
Carl Hiaasen
2004
a 13
abandoned 1
accessible 1
across 2
administration 1
admit 1
aim 1
all 1
along 1
also 1
always 1
am 1
an 2
and 14
another 2
approve 1
are 3
arise 1
as 2
asks 1
at 4
attempt 1
attempted 1
attempts 1
attributes 1
awakening 1
backup 1
becomes 1
bed 2
been 1
betrayal 1
blackmarket 1
books 1
but 4
by 7
care 1
caught 1
caused 1
center 3
central 1
changes 1
characters 1
chaz 3
chazs 3
choice 1
classic 1
closer 1
commented 1
contains 1
converge 1
course 1
date 1
daughter 1
definitely 1
desperate 1
destruction 1
detestable 1
did 1
dip 2
direction 1
donald 1
driven 1
drug 1
drugged 1
drunk 1
dumbass 1
dying 1
dysfunction 1
e 1
each 1
encounters 1
enemies 1
enriched 1
enters 1
environment 1
erectile 1
escaped 1
even 2
everglades 1
exact 1
example 1
expecting 1
experimenting 1
fact 1
falls 1
family 1
farces 1
fda 1
fight 1
finally 2
find 1
five 1
florida 1
focus 1
food 1
for 8
foster 1
from 2
front 1
full 1
funny 1
get 1
girlfriend 1
gives 1
going 2
gradual 1
grip 1
groping 1
grows 1
guilt 1
hallucinations 1
hands 1
has 3
he 7
her 3
hes 3
hiaasens 1
hide 1
hiding 1
him 5
his 10
hoax 1
house 3
husband 2
i 1
if 1
imagines 1
in 13
inadequate 1
including 1
ineptness 1
infiltration 1
instance 1
into 2
involve 1
is 13
it 4
its 2
joey 3
joeys 1
just 2
karl 1
killer 1
knowing 1
lady 1
least 1
likely 1
lines 1
longing 1
look 1
lured 1
makes 2
manages 1
many 1
may 2
medea 1
mick 2
middle 1
minnesota 1
money 2
monster 1
moral 1
more 1
mothers 1
murder 3
native 1
need 1
nile 1
not 3
novel 2
obsession 1
of 22
offered 1
often 1
old 1
on 2
one 1
only 1
opposite 1
or 1
ordered 2
other 7
out 3
over 1
paranoia 1
part 1
people 1
perrone 2
person 1
pet 1
playing 1
plot 2
point 1
politely 1
pollution 1
presence 1
protect 1
proud 1
pythons 1
quest 2
question 1
random 1
rather 1
reader 1
readers 2
reason 1
reckless 1
recognizing 1
reds 1
relations 1
reminiscent 1
rescue 1
revenge 1
reverse 1
review 1
right 1
role 1
rolvaag 1
root 1
rose 1
running 1
save 1
scenes 1
search 2
sex 2
sexual 1
she 1
sign 1
similar 1
single 1
situation 1
situations 1
skinny 2
some 2
somewhere 1
sophisticated 1
stay 1
stop 1
stopping 1
story 1
storyline 1
strip 1
subplots 1
suitcase 1
surrounded 1
survives 1
system 1
take 1
tease 1
than 2
that 5
the 37
their 1
there 1
thing 1
think 2
this 1
three 1
tied 1
to 17
too 1
tool 3
touching 1
true 1
truth 1
try 1
trying 2
two 1
under 1
unplanned 1
unsuccessfully 1
until 1
up 1
variety 1
version 1
viagra 1
villains 1
virus 1
wackiness 1
wanderings 1
was 1
way 2
ways 1
west 1
westlake 1
what 2
when 2
which 4
who 3
whom 2
wife 3
with 5
woman 1
words 1
would 1
wrong 1
young 1
