24939976
/m/09gnqh_
/m/09gnqh_
Stewart Brand
2009
a 4
an 1
and 4
another 1
are 1
around 1
benevolent 1
book 3
brand 2
challenges 1
chapter 3
chapters 1
cities 2
concludes 1
craft 1
discusses 1
earth 1
earthworm 1
ecosystem 1
electricity 1
engineering 3
enhance 1
environmentalist 1
explain 1
fifth 1
finally 1
for 1
four 1
fourth 1
genetic 2
geoengineering 2
green 4
grid 1
he 1
his 1
humans 1
in 1
infrastructure 1
is 5
issues 1
largescale 1
learn 1
life 1
like 1
major 1
move 1
natural 1
necessary 1
need 1
nuclear 2
obligation 1
of 2
on 3
one 1
or 1
particular 1
planet 1
power 2
probably 1
provided 1
requires 1
restoration 1
rethinking 1
science 1
sermon 1
short 1
speaking 1
summarized 1
the 4
thinking 1
to 3
traditional 1
two 1
urbanization 1
version 1
which 1
with 1
