4665267
/m/0cg5jj
/m/0cg5jj
Alicia Buelow

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 1
anakin 1
and 2
apprentice 1
are 2
at 1
but 1
chancellor 1
chaos 1
could 1
dark 1
endangered 1
from 1
galactic 1
galaxy 1
his 1
in 1
into 1
is 1
jedi 1
justice 1
kenobi 1
obiwan 1
palpatine 1
peace 1
protect 1
result 1
risk 1
senate 1
senators 1
skywalker 1
success 1
supreme 1
tasked 1
that 1
the 3
threat 1
throw 1
to 2
vested 1
what 1
with 1
