14900692
/m/03h0zkz
/m/03h0zkz
Clare Bell

{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 12
abandon 1
able 2
across 1
acts 1
admit 1
after 1
again 1
alone 1
also 1
an 2
and 33
animals 1
another 1
any 1
anything 1
are 8
arrive 1
as 5
attack 2
attacks 1
back 1
band 1
be 3
befriending 1
befriends 1
being 1
believe 1
between 1
bit 1
bites 1
blubbery 1
body 1
born 1
brightness 1
bring 2
brings 1
but 3
by 7
call 2
calls 1
can 2
capture 1
cat 3
cats 3
caught 1
cause 1
clan 8
cleanliness 1
coast 1
coastline 1
comes 1
creature 1
creatures 2
cub 1
daughter 3
decides 2
defend 1
destroyed 1
dirty 1
distinct 3
do 1
dreambiter 3
dreams 1
due 2
events 1
eventually 1
eyes 2
far 1
feel 1
feet 1
female 1
fessran 1
fight 1
fire 2
firekeepers 1
fits 1
foot 1
for 6
foreleg 1
forgive 1
fray 1
frees 1
fury 1
get 1
gets 2
go 1
goes 2
going 2
group 3
happens 1
has 3
have 4
having 1
he 3
head 1
heat 1
her 15
herd 2
herders 1
herds 1
herdthe 1
hidden 1
him 2
his 1
horselike 1
hunt 1
if 2
in 7
insteadthe 1
instinct 1
into 2
is 12
it 2
keep 1
killed 1
knowingness 1
knows 1
lacking 1
lagoon 1
language 2
large 2
leader 1
learns 1
led 1
leg 1
like 1
linage 1
live 3
lives 1
livestock 3
look 1
love 1
makes 1
making 1
members 2
mishanti 3
morals 1
mother 2
move 1
name 1
named 5
names 1
neck 1
newt 1
no 3
nonsentient 1
not 1
of 10
often 1
on 2
only 1
opposite 1
or 1
order 1
orphan 1
other 1
out 1
own 1
paleoparadoxia 1
panic 1
past 1
prehistoric 1
proof 1
protect 1
protection 1
protruding 1
raise 1
ratha 14
reality 1
realizes 1
recognizable 1
recollection 1
red 3
refuses 1
related 1
rely 1
reports 1
reside 1
rocks 1
sabre 1
safety 1
seamare 2
seamares 3
searching 1
seizures 1
sentience 1
sentient 2
she 4
shriveled 1
sometimes 1
soon 1
starts 1
stopped 1
stuck 1
swim 1
taken 1
teeth 1
tend 1
term 1
thakur 2
that 7
the 27
their 5
them 3
themselves 1
therapy 1
there 2
these 1
they 9
this 2
thistlechaser 13
through 1
to 16
together 2
tongue 3
tooth 1
tries 2
true 1
two 2
unaware 1
unlike 1
unnamed 4
upset 1
use 1
used 2
uses 1
was 4
water 3
webbed 1
what 1
when 3
which 7
while 1
who 6
will 1
with 3
would 1
young 1
