11106963
/m/02r07j2
/m/02r07j2
Scott Westerfeld
2005
{"/m/06n90": "Science Fiction"}
a 17
abilities 1
ability 1
able 1
about 6
abruptly 1
access 1
across 1
affecting 1
after 3
again 2
ago 2
ahead 1
all 2
allies 1
along 1
already 1
also 3
an 1
anathea 4
and 15
another 2
are 3
around 1
as 7
at 3
avoid 1
away 1
be 2
been 3
before 1
begins 5
being 1
belongs 1
better 1
bidding 1
bixby 2
boomed 1
built 1
burn 1
but 1
called 1
can 1
car 1
catch 1
come 1
communicate 4
constanza 3
continues 1
contortion 1
coordinate 1
coordinates 1
costs 1
could 1
cousin 1
cut 1
darkling 4
darklings 9
darkness 2
desire 1
dess 9
destroy 1
dies 1
disappeared 1
discover 1
discovers 4
do 1
doing 1
dominoes 2
drawer 1
draws 1
dreams 1
emotions 1
ends 1
english 1
enhanced 1
ernesto 1
even 2
explains 2
exposures 1
family 1
father 2
fifty 3
finally 1
find 4
finder 1
flesh 1
fly 1
for 3
freed 1
friend 1
from 8
front 1
full 1
generation 1
get 1
girl 2
giving 1
go 1
got 1
gps 1
grandfather 2
grants 1
grayfoot 2
grayfoots 1
halfling 5
halflings 1
harmless 1
has 5
have 2
having 1
he 1
help 2
her 18
herself 2
hidden 2
hides 1
hiding 1
him 5
his 3
home 1
hour 8
house 6
how 2
however 2
human 3
hunt 1
in 9
injured 1
introduces 1
intrusion 1
investigating 1
is 8
it 8
jessica 9
jonathan 5
keep 1
kidnapped 1
kill 1
knew 1
knowledge 1
last 1
learn 2
learned 1
learns 2
leave 1
leaving 1
led 1
left 2
let 1
light 2
live 1
lived 1
lore 1
luckily 1
made 2
madeline 7
making 1
manages 1
map 3
meanwhile 3
meeting 1
melissa 8
memories 2
merged 1
message 1
midnight 2
midnighter 1
midnighters 6
mile 1
mind 2
mindcast 1
mostly 1
moving 1
multiple 1
must 1
nearly 2
needs 1
new 2
next 1
no 1
nonmidnighter 1
not 3
now 1
of 11
off 2
older 1
on 2
one 1
only 3
others 1
out 2
outside 2
outsider 1
overhears 1
people 1
place 1
population 1
prevent 1
privacy 1
properly 1
ransacking 1
read 1
replace 1
resent 1
rest 1
return 2
rex 6
rich 1
runway 2
says 1
scouring 1
secret 9
seem 1
seen 1
seer 1
sense 1
she 8
shortly 1
sick 1
site 1
so 3
some 2
someone 2
something 1
soon 2
spelled 1
spot 1
stalker 1
start 1
starts 1
steal 1
stiff 1
stops 1
strange 1
struggling 1
suddenly 1
suppresses 1
suspects 1
symbols 1
take 1
taken 1
taking 1
taught 1
teach 2
tells 1
terms 1
that 13
the 50
their 2
them 3
then 1
theories 1
there 3
they 8
thinking 1
though 1
thoughts 1
through 1
time 2
to 31
torch 1
touches 1
touching 1
town 2
trick 1
try 1
trying 1
up 1
use 1
used 2
uses 1
using 3
visit 1
was 1
well 1
were 1
when 4
where 1
which 3
who 6
will 5
window 1
windshield 1
wish 1
with 13
years 3
young 1
younger 1
youre 1
