14029788
/m/03crhyh
/m/03crhyh
Christopher Paolini
2011-11-08
a 24
able 3
about 2
abruptly 1
absence 1
advice 1
advises 1
after 8
against 1
agony 1
aid 1
alagasia 6
all 3
allegiance 1
alliance 1
allow 1
allowing 2
although 1
an 2
ancient 1
and 55
angela 3
angry 1
appointed 1
are 9
aroughs 2
arya 9
as 8
assuming 1
at 2
attack 6
attacks 1
away 1
back 3
battle 2
be 3
because 1
becomes 2
before 3
begins 2
being 3
belatona 2
believes 1
between 2
bids 1
bldhgarm 1
both 1
break 1
bringing 1
broken 2
but 1
by 6
called 1
camp 1
cannot 2
captive 2
capture 2
captured 1
casts 1
caused 2
causing 1
challenging 1
chance 1
change 1
choose 1
chosen 1
citadel 2
city 10
combined 1
come 1
comes 1
coming 1
completed 1
concerning 1
conclusion 1
consciousness 1
consults 1
control 2
conversation 2
could 1
crimes 1
dauthdaert 2
days 1
death 3
debate 1
defeat 1
defeats 1
depart 1
destroy 1
destroyed 1
destroys 1
direct 1
discovers 1
do 1
dragon 8
dragons 3
drasleona 1
du 1
due 1
during 2
dwarves 3
east 1
egg 1
eggs 7
eldunar 8
eleven 1
elf 1
eliminating 1
elva 2
elven 2
elves 2
empire 1
ending 1
energy 2
enraged 1
enter 1
eragon 33
eventually 2
everybodyexcept 1
existence 2
explosion 1
falls 1
farewell 1
feed 1
fight 2
find 3
finds 2
five 1
for 14
force 1
forces 2
forget 1
form 1
formed 1
frnen 1
from 8
future 1
galbatorix 12
gates 2
glaedr 5
gods 1
green 1
group 1
guard 1
guide 1
has 3
hatch 2
hatches 1
hatchlings 1
have 2
he 6
hear 1
heated 1
held 1
helgrind 1
help 2
her 5
hidden 2
high 1
him 3
himself 2
himselfto 1
his 8
hoard 1
home 1
hopes 1
huge 1
immediately 1
in 17
incantation 1
include 1
informs 1
inheritance 1
injure 1
injuries 1
inside 1
intend 1
intended 1
into 3
is 15
island 2
islanzad 1
islanzadi 1
it 3
jeod 1
kept 1
kill 1
killed 1
killing 1
kills 1
king 1
knowledge 2
kuthian 3
language 1
last 1
leader 2
leaders 2
leads 1
learn 1
learned 1
leaving 1
led 3
let 1
loses 1
loyalty 1
magic 4
make 2
making 1
many 1
march 1
meanwhile 1
members 1
middle 1
mind 1
minds 1
mission 1
monarch 1
most 1
murtagh 9
must 1
name 2
named 2
names 2
nasuada 2
nearly 1
never 2
new 6
niernena 1
night 1
no 1
none 1
north 1
oath 1
oaths 1
occupying 1
of 46
off 1
on 5
one 1
only 1
onto 1
open 2
opens 2
opted 1
order 1
orders 1
original 1
orik 1
orrin 1
other 1
others 1
out 1
overtaking 1
overthrowing 1
pact 1
pain 2
pass 1
place 1
plan 2
planning 1
plans 1
pledges 1
potentially 1
powerful 2
preparing 1
priests 2
proceed 1
process 1
progressing 1
protect 1
proves 1
pulling 1
queen 3
questions 1
races 1
raise 1
rather 1
razac 1
reach 1
realizes 1
reason 1
recent 1
references 1
referred 1
region 1
rejoins 1
remember 2
remembers 1
renders 1
rescued 1
results 1
retaliation 1
retreat 1
return 1
returns 1
reveal 1
revealed 1
rewarding 1
reworks 1
rider 1
riders 6
risky 1
rock 5
room 2
roran 3
roundabout 1
safe 1
saphira 9
save 3
says 2
secret 1
sent 3
separated 1
series 1
sewer 1
she 1
shruikan 2
siege 3
small 1
solembum 8
some 2
somewhere 1
soon 2
souls 3
source 1
speak 1
speaks 1
spear 2
spell 2
spellcasters 2
start 1
stay 1
stored 1
strip 1
struggle 1
subdues 1
successfully 1
suffering 1
summons 1
surda 1
surface 1
sustains 1
swords 1
system 1
take 2
taken 2
takes 1
talks 1
task 1
teaches 1
telling 1
tent 1
that 13
the 108
their 8
them 7
themselves 3
then 2
there 1
they 10
thinking 1
thorn 5
those 2
three 1
throne 2
through 2
thus 2
time 2
to 55
train 1
training 1
trance 1
transport 1
traps 1
travel 1
true 4
truth 1
tunnel 1
tunnels 1
turns 1
two 1
umaroth 1
unconscious 1
under 1
understand 2
unmaking 1
until 1
up 1
urbaen 6
urgals 2
usage 1
used 1
uses 1
using 4
utters 1
varden 12
vault 4
voice 1
vrael 1
vroengard 2
wards 2
wars 1
was 2
way 2
weldenvarden 1
were 1
werecat 2
werecats 1
when 1
where 1
which 6
while 5
who 1
whose 1
will 3
with 10
witnessing 1
word 4
wyrden 2
yet 1
