4608346
/m/0ccd8s
/m/0ccd8s
Thomas Harris
1988
{"/m/01jfsb": "Thriller", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
183 1
a 30
about 4
accurate 1
administrator 1
advised 1
after 3
agenda 1
agent 2
agrees 1
allowed 1
also 4
an 8
and 22
anguish 1
another 1
anthrax 1
apron 1
are 1
as 6
asked 1
asks 1
assistance 1
assists 1
asylum 4
at 3
autopsy 2
back 1
baker 1
basis 1
be 2
been 2
before 3
being 1
believes 1
benjamin 1
bile 1
bilirubin 1
bill 11
billy 1
black 1
blouse 1
bodies 1
both 1
brief 1
briefly 1
brilliant 1
brutal 1
buffalo 9
but 2
by 4
calling 1
cannibalistic 1
capture 2
card 1
carry 1
case 1
catherine 4
caught 1
chief 1
childhood 2
chilton 7
city 1
clarice 1
clue 2
clues 1
color 1
coloring 1
compares 1
congratulatory 1
connection 1
consecutive 1
continually 1
continues 1
conversation 1
cousin 1
covet 1
crawford 7
credit 1
cryptic 1
daughter 1
days 3
deal 2
death 2
deduces 1
demands 1
description 1
device 1
discovered 1
disease 1
division 1
doing 1
down 1
dr 1
draws 1
dubbed 1
dumping 1
during 1
earlier 1
elephant 1
enjoying 1
epiphany 1
errand 1
escapes 1
estimates 1
eventually 3
everyday 1
eviscerating 1
explained 1
explains 1
expressed 1
expresses 1
faces 1
farmer 2
fashions 1
faster 1
father 1
fbi 3
february 1
feces 1
final 1
finds 1
first 1
fish 1
fled 1
fool 1
for 8
forces 1
forensic 2
form 1
former 2
found 4
four 2
frederick 1
from 6
fullfledged 1
furthermore 1
genuineness 1
get 2
gets 1
getting 1
give 1
given 1
gives 1
guards 1
gumb 2
had 3
hair 1
handcuff 1
hands 1
hannibal 1
has 5
hatch 1
have 4
he 15
head 1
hear 1
hell 1
helps 1
her 14
herring 1
hidden 1
him 5
his 9
homicide 1
hopes 1
hours 1
however 3
human 2
humps 1
hunt 1
identified 1
identity 1
if 4
improvised 1
in 19
indeed 1
indicate 1
information 7
insists 1
institution 1
intense 1
intention 1
interest 1
interrupted 1
into 1
investigation 1
involves 1
is 19
it 1
ivory 1
jack 1
jame 1
jealous 1
joke 1
just 1
kansas 1
kidnapped 1
kidnapping 1
killed 2
killer 1
killers 1
killing 3
klaus 2
knew 1
knifemaker 1
knows 1
lab 1
lambs 2
last 1
later 3
leave 1
leaves 1
lecter 21
less 1
lie 1
life 1
likes 1
listening 1
live 1
lockpick 1
locks 1
longed 1
lover 1
made 1
make 1
many 1
martin 4
maryland 1
mask 1
memory 1
mental 1
mistakenly 1
modus 1
moment 1
moth 3
much 1
murdered 1
murders 1
name 2
named 1
naturally 1
nearby 1
nemesis 1
never 1
nickname 1
night 1
nine 1
no 1
not 1
novel 1
occur 1
of 22
offer 3
offers 3
on 6
one 4
only 2
operandi 1
or 1
orderlies 1
orphan 1
orphanage 1
out 3
over 1
overweight 1
own 1
paperclip 2
paramedics 1
parts 1
past 1
patches 1
patient 1
pen 2
perform 1
periodically 1
person 1
physical 1
pick 1
pieces 1
pigment 1
place 1
predicted 1
prediction 1
preferable 1
present 1
president 1
previously 1
profiles 1
provides 1
psychiatrist 1
psychological 1
pupa 2
questionnaire 1
ranch 1
raspail 4
real 1
really 1
recalling 1
receives 1
record 1
red 1
relationship 1
reminisces 1
reports 1
rescue 2
rescuing 1
rest 1
return 1
returns 1
revealed 1
reveals 2
rivers 1
roadside 1
rubin 1
ruminations 1
ruth 1
sailor 1
scalped 1
screaming 1
search 2
see 1
senator 3
sent 4
sentences 1
serial 2
series 1
serving 1
session 1
share 1
she 10
sheep 1
shortly 1
shoulders 1
six 1
sixth 1
skepticism 1
skin 3
skinning 1
slaughtering 1
slit 1
smithsonian 1
so 1
sociopath 1
solicit 1
some 2
something 1
spent 1
spoken 1
spring 1
starling 13
started 1
starving 1
states 1
steps 1
stopped 1
strange 1
successful 1
suffered 1
taken 1
takes 2
telegram 1
tennessee 3
terror 1
than 2
thanks 1
that 14
the 43
their 1
them 2
then 2
therapy 1
they 1
this 1
three 2
throat 1
throughout 1
time 1
to 24
told 1
tongue 1
toys 1
tracking 1
trainee 1
transfer 1
transferred 2
triangular 1
tries 1
try 1
two 2
under 1
unhappy 1
united 1
unknown 1
untrained 1
up 3
upon 1
used 1
uses 1
using 1
victim 4
victims 1
virginia 1
was 6
watching 1
we 2
were 1
west 1
what 1
when 2
where 3
which 5
who 3
whom 1
whose 1
why 1
will 2
william 1
witch 1
with 4
within 2
without 1
woman 1
women 1
worst 1
would 2
years 1
young 1
