4096072
/m/0bhsv8
/m/0bhsv8
Garth Nix
2006-03-01
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
100 1
a 18
able 1
above 1
actions 1
adventures 1
afflicted 1
after 2
against 2
allows 1
along 1
an 1
and 21
another 1
appeared 1
architect 2
army 7
arrives 1
arthur 14
as 3
assassinated 1
attempting 1
based 1
baton 1
battle 1
be 1
bearer 1
become 1
been 1
begins 2
biological 1
blue 1
body 1
book 2
border 1
boy 4
break 1
but 1
by 4
called 1
campaign 1
cannot 1
chessboardlike 1
child 2
claim 1
combat 1
commander 1
contact 1
control 2
create 1
currently 1
dame 2
deadly 1
defeated 1
defeats 1
demesne 1
demesnes 1
denizen 1
depending 1
destroy 2
destroying 1
destroys 1
disappeared 1
distracts 1
doctor 1
doing 1
door 1
double 1
drafted 1
duplicate 1
during 1
earth 5
embodying 1
enough 1
entirety 1
escapes 1
eventually 1
everyone 1
extraterrestrial 1
find 2
finds 1
first 1
floor 1
for 4
forced 1
fourth 4
fred 2
free 1
friday 1
friend 1
friends 1
from 8
front 1
full 1
fungoid 1
fungus 2
gains 1
get 1
glorious 2
gold 1
grayspot 3
great 2
grim 1
ground 1
has 5
have 1
he 3
help 3
her 2
him 3
his 4
home 1
hospital 5
house 5
identity 1
in 10
infected 1
infecting 1
infiltrates 1
informs 1
initials 1
into 3
involved 1
is 13
it 4
joins 1
just 1
justice 1
key 2
known 1
lady 1
later 3
leader 1
leaf 5
learns 1
leaves 1
led 1
lifeform 1
living 1
lower 2
magical 1
makes 2
maze 2
mechanical 1
memory 1
mentions 1
mistaken 2
mister 1
moments 1
monday 1
month 1
must 1
name 1
named 1
near 1
new 3
nicknamed 1
nithling 3
nithlings 1
not 1
numbers 1
nurse 1
object 1
obtain 1
of 16
officer 1
on 4
one 2
only 1
or 2
others 1
panic 1
part 1
pass 1
patients 1
penhaligon 1
pharmacist 1
piper 5
pocket 3
presence 1
preventing 1
prevents 1
primus 2
process 1
put 1
quarantine 1
raid 1
reached 1
read 1
real 1
recall 1
recovered 1
remain 1
retired 1
return 2
sea 1
seeking 1
serve 1
she 5
shifting 1
shirts 1
simultaneously 1
sin 1
sir 3
skinless 4
snake 1
so 1
soon 2
special 1
staff 1
succeeds 1
suzy 1
sword 1
sylvie 1
takes 1
telephone 1
that 4
the 55
their 2
them 1
then 2
there 1
this 1
thoughts 1
through 1
throwing 1
thrown 1
thursday 4
title 1
to 16
torn 1
trustee 2
trying 1
tuesday 1
turquoise 1
under 1
up 1
used 1
uses 1
virtue 1
wakes 1
was 1
way 1
weapon 3
week 1
when 1
where 1
wherein 1
whereupon 1
whether 1
which 3
while 1
who 1
wielder 1
will 2
wiped 1
with 7
within 1
wrath 1
years 1
