3729322
/m/09xqjs
/m/09xqjs
Gideon Defoe
2004-08-26
{"/m/014dfn": "Speculative fiction", "/m/01z4y": "Comedy"}
1837 1
a 5
adventures 1
agrees 1
and 5
bank 1
beagle 1
been 1
believed 1
bellamy 1
black 1
bobo 1
book 1
by 1
captain 2
charles 1
crew 1
darwin 2
defeat 1
enemies 1
england 1
exiled 1
follows 1
from 2
have 1
having 1
he 1
help 1
highly 1
him 1
his 2
home 1
in 1
is 1
london 1
manpanzee 1
meet 1
mister 1
of 3
pirate 2
pirates 1
rival 1
scientist 1
set 1
ship 1
sophisticated 1
sunk 1
take 1
thanks 1
the 5
they 1
tipoff 1
to 2
trained 1
treasure 1
unorthodox 1
was 1
which 1
who 1
young 1
