7729327
/m/026b4yy
/m/026b4yy
Fredric Brown
1947
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction"}
a 2
affection 1
alcoholic 1
all 1
along 1
always 1
am 1
ambrose 1
an 1
and 5
as 2
backalley 1
be 1
believed 1
brother 2
carny 1
case 1
characters 1
chicago 1
comes 1
crime 2
decides 1
dismiss 1
drunk 1
ed 5
enlists 1
expose 1
father 4
feels 1
for 2
guidance 1
had 1
hapless 1
has 1
he 3
help 1
him 1
his 4
hunter 2
hypersexual 1
in 1
intents 1
investigate 1
is 2
itinerant 1
man 1
many 1
meanspirited 1
more 1
murder 1
murdered 1
murderer 1
no 1
not 2
nothing 1
of 6
on 1
orphaned 1
out 1
own 1
pathetic 1
police 1
purposes 1
random 1
real 1
realize 1
seen 1
set 1
so 1
solve 1
stepmother 1
stepsister 1
swamp 1
teenaged 1
than 1
that 1
the 11
their 1
them 1
they 1
through 1
to 5
together 1
two 1
underworld 1
unseemly 1
wade 1
was 1
way 1
whatsoever 1
when 1
who 1
with 1
years 1
