949760
/m/03sn4x
/m/03sn4x
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
3 1
a 20
above 1
accidentally 1
actually 1
affair 1
again 1
against 1
all 2
along 2
already 1
also 1
always 2
am 1
an 5
and 21
angkatell 1
any 2
anymore 1
apparently 3
appeal 1
appears 1
are 3
area 1
arrives 2
as 5
asked 1
asking 1
asks 1
at 5
attempting 1
attempts 2
attractive 1
avoid 1
back 1
basket 1
be 5
been 5
begins 1
believe 1
believes 1
besides 1
bleeding 1
blind 1
body 1
book 1
borrow 1
box 1
brilliant 1
build 1
but 7
by 8
calibre 1
calls 1
case 1
charming 1
christow 1
christows 1
clay 1
clue 1
concealed 1
cottages 1
course 1
cray 1
cure 1
currently 1
cut 2
day 1
decision 1
deeply 2
deliberate 1
demonstrated 1
destroy 1
destroyed 1
destroying 1
destroys 1
difficult 1
discovered 4
does 1
doodle 1
dramatic 1
dried 1
drinking 1
drinks 1
drops 1
during 2
early 1
eccentric 1
edward 6
eggs 1
embark 1
emerged 1
end 1
ends 1
escapes 1
evidence 3
extended 1
fact 1
family 3
final 2
fingerprints 1
first 2
follows 1
for 3
from 2
fumbles 1
gas 1
gerda 11
gets 1
go 1
goes 1
grief 1
guilt 1
gun 1
had 6
hand 2
handled 1
hands 1
happens 1
happy 1
has 11
have 1
having 1
he 8
head 1
hedge 2
help 1
henrietta 14
her 15
hercule 1
heroine 1
herself 3
hides 1
him 2
his 3
holding 1
holster 1
hope 1
horse 1
hospital 2
house 2
however 1
implicated 1
imprisonment 1
improviser 1
in 23
indeed 1
instinctively 1
into 2
invited 2
is 21
it 14
jealousy 1
john 10
justice 1
kept 2
killed 1
know 2
last 1
late 1
later 4
least 1
leaving 2
little 2
living 1
love 6
loves 1
lucy 4
lunch 1
marriage 1
marry 1
match 1
matches 1
matchseller 1
means 2
members 1
midge 5
misdirection 1
misunderstands 1
motive 1
much 1
murder 3
murderess 2
name 1
nearby 1
need 1
next 1
night 2
no 1
none 2
nostalgia 1
not 4
note 1
novel 2
now 2
number 1
occupied 1
of 24
off 2
on 6
one 3
order 1
other 3
oven 1
part 1
patients 1
pavilion 1
pieces 1
pistol 5
pistols 1
placed 1
places 1
planned 1
planning 1
poirot 4
poirots 1
poisoned 2
pool 2
potential 1
prevents 1
proof 1
proposals 1
proving 1
putting 1
rather 1
realises 1
reflects 1
refused 1
relents 1
remembered 1
resilient 1
resolves 1
retrieve 1
retrieves 1
returns 1
revolver 1
romantic 1
said 1
saturday 1
saved 2
savernake 1
says 1
scene 1
sculptor 1
sculpture 2
second 1
seeing 1
seemingly 1
seems 5
seen 1
several 1
she 10
shoot 1
shot 1
shows 1
spirit 1
staged 1
standing 2
still 2
stop 1
strangely 1
strong 1
subplot 1
suddenly 1
suicide 1
sunday 1
suspect 1
suspects 2
swimming 2
taken 1
taking 1
talented 1
tea 2
that 18
the 46
then 1
there 3
therefore 1
these 1
they 2
this 3
throughout 1
time 1
times 1
to 16
together 1
too 2
transfixed 1
turns 1
two 2
unusual 1
up 2
urgent 1
used 1
veronica 2
visiting 1
walk 1
walked 1
was 3
weapon 5
wedding 2
wellcharacterised 1
what 1
when 4
where 1
which 3
who 7
with 16
witness 1
witnesses 1
word 1
workbag 1
workshop 1
would 1
wrong 2
