15015016
/m/03h4p4_
/m/03h4p4_
Aldous Huxley
1967
144 1
27th 1
a 2
able 1
about 1
after 1
and 4
are 2
around 1
as 1
at 2
bakes 1
better 1
bottom 1
branches 1
catching 1
cause 1
children 1
christmas 1
clothesline 1
confers 1
cottonwood 1
crow 6
crows 2
day 1
diapers 1
does 1
due 1
dummy 1
each 1
eating 1
eats 1
egg 1
eggs 5
families 1
four 1
friend 1
get 1
go 1
goes 1
hang 1
hatch 2
he 1
her 1
himself 1
his 2
hole 1
in 3
into 2
it 1
kill 1
knots 1
left 1
little 1
live 1
living 1
mr 5
mrs 5
mud 1
nest 1
never 1
next 1
not 1
of 5
on 3
owl 2
pain 1
paints 1
pearblossom 1
rattlesnake 3
requests 1
resemble 1
seventeen 1
she 1
snake 3
stomach 1
stone 1
story 2
such 1
sundays 1
tells 1
that 3
the 15
them 2
these 1
they 1
thinking 1
this 1
thrashes 1
to 7
tree 2
trick 1
two 1
tying 1
unknowingly 1
uses 1
when 1
which 1
who 2
wise 1
with 1
work 1
written 1
year 1
