963677
/m/03tvp9
/m/03tvp9
Terry Goodkind
2001-11-20
a 13
above 1
abusive 1
action 1
actually 1
advised 1
after 7
against 1
all 3
along 4
also 2
an 3
ancient 1
and 22
another 2
any 1
apparently 1
are 1
army 2
arrival 1
as 2
aspect 1
assassins 1
assaults 1
at 2
attempts 1
aware 1
barriers 1
be 3
been 2
before 1
begins 1
believe 1
between 1
bidding 1
birth 1
bloodily 1
born 1
briefly 1
bringing 1
brother 1
brought 1
brutally 1
but 4
buy 1
by 7
can 3
capital 1
captures 1
caring 1
claims 1
cleverly 1
comfortably 1
coming 1
concerning 2
confessor 1
convinces 1
convincingly 1
cooperating 1
cottage 1
creation 2
crude 1
curiosity 1
dark 1
darken 1
day 1
deadly 1
death 1
deed 1
defend 1
desperate 1
despises 1
destruction 1
detained 1
dharan 4
dharans 1
die 1
disappointed 1
discerns 1
do 2
does 1
done 1
down 1
drawn 1
during 2
elimination 1
else 1
emperor 5
empire 1
enchanted 1
encounters 1
enemy 1
energetic 1
enrages 1
equal 1
escapes 1
especially 1
esteems 1
even 2
eventually 1
fact 2
fail 1
fair 1
family 1
farm 1
fate 1
father 1
fight 1
find 1
finds 1
first 1
foiled 1
for 6
force 1
friend 1
friendly 1
from 3
funds 1
gate 1
gift 1
goaded 1
goals 1
guards 2
guide 4
had 1
half 1
hand 1
has 5
he 17
healthy 1
helped 1
helps 1
her 15
herself 2
him 2
himself 1
hires 1
his 14
home 2
however 1
humanity 1
imagines 1
immense 1
immune 1
immunity 1
imperial 4
in 11
initially 1
injured 1
inquisitive 1
integrity 1
into 1
invasion 1
invincibility 1
is 14
itself 1
jagang 6
jailed 1
jennsen 13
joins 1
kahlan 2
keeper 7
kill 4
killed 1
killing 1
kills 3
know 1
known 1
knows 1
leader 1
learns 3
leaves 1
life 2
link 1
lives 1
living 1
locate 1
looted 1
lord 1
loving 1
magic 7
main 1
make 1
making 1
manifests 1
marked 1
meanwhile 1
measure 1
medicine 1
men 1
menace 1
mind 2
mollified 1
money 1
mother 6
murdered 1
natural 1
nature 2
nearby 1
negotiates 1
new 1
not 2
nothing 1
now 1
oba 13
obedience 2
of 22
old 1
on 3
one 1
only 1
opening 1
or 1
order 8
ordered 1
out 1
over 1
pact 1
palace 4
people 3
picky 1
pillars 3
plan 3
pleasure 1
possessor 1
previously 1
pristinely 1
promises 1
protecting 1
purchase 1
pursues 1
quest 1
rage 1
rahl 8
reach 1
reaches 1
reacts 1
realm 1
recognizes 1
refuses 1
repulsed 1
rescues 1
resolves 2
return 2
returning 3
returns 1
reveals 2
richard 10
running 1
safely 2
same 1
save 1
sebastian 6
second 1
sections 1
see 1
seeks 1
sends 1
sent 1
separating 1
sets 1
severely 1
she 10
shocked 1
should 1
sibling 1
since 1
sister 2
so 1
soldiers 2
something 1
somewhat 1
sorceress 7
sorceresses 1
speaks 1
spent 1
spot 1
spots 1
spy 1
start 1
stolen 1
stranger 1
suffers 1
supreme 1
surrender 1
surrenders 1
swamp 4
sword 2
take 1
that 12
the 69
their 2
then 1
there 1
thereby 1
things 1
this 1
though 1
thrall 1
through 2
to 31
tom 1
travel 1
travels 1
treasure 1
treatment 1
truly 1
truth 1
twenty 1
under 2
underworld 1
ungifted 1
unleashes 1
upon 1
user 1
using 2
van 1
visit 1
voice 2
wants 1
war 1
was 1
watching 1
well 1
were 2
when 2
where 1
which 1
who 4
with 9
without 1
world 4
worse 2
wreaking 1
years 1
