4838726
/m/0cqbp2
/m/0cqbp2
Gillian Rubinstein
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
12 1
15 1
3 1
30 1
5000 1
a 45
abbot 1
abdication 1
accepted 1
across 2
act 2
actions 1
adopt 1
advisors 2
after 6
afterwards 1
again 1
aged 1
ago 2
agree 1
agrees 2
akane 11
akira 1
all 1
alliance 1
alliances 1
ally 1
almost 1
alone 1
already 2
also 3
an 11
ancestral 1
and 71
anger 1
anonymously 1
any 1
anything 1
apart 1
appease 1
approached 1
arai 4
are 10
army 2
arrives 2
as 13
assassin 1
assassination 1
assisting 1
associations 1
at 13
attack 2
attempt 1
attempts 2
autumn 1
away 3
baby 1
back 2
battle 2
battled 1
be 10
bearing 1
becomes 4
becoming 1
been 4
before 2
begin 2
behalf 1
behind 1
beliefs 1
believe 2
believers 1
belonging 1
below 1
best 1
betray 1
betrayed 1
better 2
between 2
bird 1
bitter 1
blood 1
body 2
border 2
borders 1
both 1
boy 3
breaks 1
bridge 1
brings 2
brother 1
brothers 1
builds 1
buried 1
but 9
by 11
calm 1
can 2
cannot 1
captured 1
castle 3
casts 1
caught 1
cause 1
cave 1
ceding 1
challenges 1
charm 2
chase 1
chigawa 1
child 4
childbirth 1
children 1
clan 1
client 1
closes 1
cold 1
come 2
comes 7
comforted 1
coming 1
compiling 1
completed 1
conceived 1
conceives 1
concoction 1
concubine 2
confide 1
confiscated 1
consoled 1
consummate 1
continues 1
convinces 1
cornered 1
could 1
countries 1
courtesan 1
cousin 1
crosscountry 1
cursed 1
daiichi 2
dangerous 1
dangers 1
daughter 3
day 4
dead 4
death 6
defeat 1
defeated 1
defend 1
deliberately 1
delivers 1
demeanour 1
depart 1
depression 1
despair 1
despite 2
destroy 1
destroyed 1
determined 1
devious 1
dies 2
disaster 1
discover 1
discuss 1
distorted 1
dives 1
divisions 1
domain 1
down 1
dropping 1
during 3
each 1
easily 1
easilyhis 1
eastern 1
embraced 1
emotional 1
encounters 1
endanger 1
endo 1
ensure 2
enter 1
entering 1
entire 1
entrusts 1
eriko 1
escape 1
establishment 1
estates 1
evasive 1
even 1
evening 1
events 1
ever 1
excessive 1
exchange 1
failed 1
fallen 1
family 6
farewell 1
farmer 2
fate 1
father 9
favourite 1
fear 1
feared 1
fears 2
feather 1
fell 1
fellow 1
female 1
festival 1
fever 1
fight 4
finally 1
finds 2
first 1
foiled 1
following 1
follows 1
for 22
forces 1
forgiveness 1
former 1
fox 2
friend 2
friendly 1
friends 1
from 19
frustration 1
funeral 1
garner 1
gave 1
girl 1
gives 2
giving 1
go 1
goes 1
gradually 1
grants 1
great 1
had 5
hagi 6
happened 1
happy 1
harmless 1
harms 1
haruna 1
has 6
haunted 1
have 1
having 1
hawking 1
hayato 3
he 36
head 1
hearing 1
hears 1
heavy 1
help 2
hemmed 1
her 24
herbal 1
herbs 2
herself 1
hidden 7
him 25
himself 3
his 38
honour 2
honoured 1
hopes 1
horseback 1
hostage 1
hostages 1
houou 1
house 3
household 1
however 4
if 4
iida 9
illegitimate 1
impatient 1
impending 1
imperative 1
impresses 1
in 34
inciting 1
included 1
including 1
indecisiveness 1
indeed 1
inevitable 1
informer 1
inheritance 1
inherited 2
inside 1
installed 2
instead 1
instruction 1
insulting 1
interim 1
intermediary 1
into 6
inuyama 2
invisible 1
is 26
isamu 3
it 6
jato 2
jealousy 1
join 1
journey 2
journeys 1
just 2
justice 1
kaede 1
keep 1
kenji 3
kikuta 2
kill 2
killand 1
killed 3
killers 1
killing 1
kills 3
kitano 4
kiyoshige 1
knocks 1
knowing 1
knowledge 1
known 2
kotaro 3
lady 3
land 1
later 8
lead 1
leader 1
leads 2
learns 1
least 1
leaves 1
leaving 2
left 2
letter 1
life 3
like 2
likely 1
likewise 1
line 1
live 2
logical 1
lone 1
long 2
look 1
looking 1
looks 1
lord 6
lords 2
loss 1
losses 1
lover 2
loyalty 2
made 2
maid 1
make 1
makes 2
man 5
manage 1
mariko 2
marked 1
marks 1
marriage 1
marry 1
maruyama 6
masahiro 2
matsuda 8
may 2
meantime 1
meet 4
meeting 2
meets 2
member 4
members 2
men 5
mercy 1
met 5
mind 1
mino 2
mistrusts 1
miyoshi 1
moe 3
money 1
more 1
mori 1
most 2
mother 5
mountains 1
mouth 1
moves 1
muto 1
mysterious 1
naomi 4
near 1
need 1
negotiate 1
nesutoro 1
neutral 1
new 1
news 2
next 2
noguchi 6
not 5
note 1
novel 1
novice 1
now 2
obtains 1
occasionally 1
of 37
off 2
offers 1
old 2
omen 1
on 16
once 1
one 4
only 2
open 1
openly 1
or 3
organises 1
other 4
otori 9
out 3
over 1
overtures 1
own 2
palace 1
part 1
passed 1
passes 1
patient 1
patiently 1
patrolling 1
peace 1
peddler 1
people 2
permission 2
persecution 1
persona 2
plain 1
plans 4
pleads 2
plot 1
point 2
poison 1
pregnancy 1
prepares 2
pretense 1
prevents 1
priest 2
procession 1
procrastinate 1
promise 2
property 1
proposed 1
protection 1
prove 1
provides 1
punishment 1
put 1
rapes 1
rarely 1
rash 1
razed 1
realises 1
reappearance 1
rebellious 1
received 1
receives 1
receiving 2
records 1
recovers 1
recovery 1
recuperates 1
refuses 2
regents 1
relationship 2
religion 1
remote 1
renames 1
replies 2
report 2
reprobation 1
requested 1
rescue 3
resides 1
resolves 1
resurfaced 1
retirement 1
retreats 1
retrieve 1
retrieved 1
return 6
returns 1
revealed 1
reveals 1
revenge 1
rewards 1
rides 1
river 1
role 1
runs 2
rushes 1
sachie 1
sadamu 4
salvation 1
same 2
satoru 1
save 1
saying 1
sealed 1
secret 2
secretive 1
secretly 2
sect 2
sections 1
seeks 1
seems 1
seishuu 2
send 1
sends 4
senior 1
sentence 1
sentenced 1
separate 1
service 1
sets 2
sexual 1
she 18
shigemori 5
shigeru 47
shingen 1
shirakawa 1
shizuka 8
should 2
shrine 1
shrink 1
sides 1
since 1
sister 1
six 1
skills 1
sleeping 1
slowly 1
so 2
some 4
someone 1
son 2
sons 1
soon 1
speak 1
special 1
speed 1
spend 1
spirits 1
spring 1
stain 1
starts 1
stay 1
stepuncles 1
stone 1
stonemason 1
stream 1
submitting 2
successor 1
suffer 1
suffers 1
suggests 1
support 1
survive 1
survivor 1
suspect 1
sword 1
