20583069
/m/051xx59
/m/051xx59


{"/m/016475": "Picture book"}
a 7
able 1
about 1
across 1
admonishes 1
afraid 1
again 1
and 9
appreciation 1
arabian 1
arrives 1
at 3
away 1
be 3
because 1
being 2
believe 1
better 1
but 2
buying 1
called 1
calls 1
can 1
comes 1
concentrates 1
container 1
cork 1
cut 1
daydreaming 2
directions 1
disobeys 1
do 1
does 1
doing 1
efforts 1
english 1
eventually 1
evil 1
exciting 1
families 1
family 1
father 1
fish 1
from 1
fun 1
generally 1
genie 1
get 1
go 1
good 1
grants 1
he 1
his 10
holds 1
home 8
if 1
in 5
instead 1
instruction 1
instructions 1
instructs 1
is 6
islam 1
island 2
jar 5
jinn 9
jinns 1
juma 10
keep 1
kept 1
know 1
lamu 2
learning 1
lessons 1
magic 3
makes 1
mangrove 1
mathematics 1
may 1
misadventures 1
more 1
mother 3
mythology 1
named 1
new 1
not 3
of 6
off 1
on 4
opens 1
or 1
out 1
own 1
owners 1
people 1
poles 1
prior 1
rather 1
realization 1
removes 1
school 2
seafaring 1
sealed 1
sealing 1
sends 1
sent 1
she 1
shore 1
since 1
skeptical 1
some 1
story 1
student 1
suggests 1
supernatural 1
taught 1
teacher 1
than 1
that 3
the 16
their 1
thought 1
to 5
touch 1
traditionally 1
turns 1
way 1
what 1
which 1
wishes 1
with 3
working 1
young 2
