25230784
/m/09g6tx8
/m/09g6tx8
Charles McCarry
1973
15 1
a 4
actually 1
agent 2
alf 1
along 1
american 1
and 1
anointed 1
as 3
avoid 1
be 1
bentley 2
british 1
camp 1
case 1
chiefly 1
christopher 3
collins 2
communist 1
concentration 1
concerns 1
crossing 1
deliver 1
despite 1
determine 1
do 1
el 3
expatriates 1
father 1
for 1
front 1
geneva 1
gift 1
he 1
his 1
hungarian 1
ilona 1
in 2
instructed 1
is 3
journey 1
kalash 1
khatar 3
known 1
liberation 1
living 1
may 1
miernik 5
native 1
nigel 1
novel 1
official 1
orders 1
organization 1
paths 1
paul 1
poland 1
polish 1
powerful 1
prince 1
reluctant 1
return 1
rising 1
several 1
sister 1
so 1
soviets 1
spy 1
student 1
sudan 1
sudanese 2
survivor 1
suspects 1
tadeusz 1
terrorist 1
that 1
the 5
this 1
to 8
trying 1
un 1
university 1
warsaw 1
way 1
well 1
when 1
whether 1
while 1
with 1
working 1
zofia 2
