906927
/m/03nrw0
/m/03nrw0
Miguel de Unamuno
1914
{"/m/02xlf": "Fiction"}
7 1
a 12
about 2
accepts 1
acknowledges 1
acquaintances 1
actually 1
advances 1
after 1
aided 1
all 2
almost 1
already 1
although 1
an 1
and 10
another 1
any 1
around 1
article 1
as 3
asserts 1
at 1
augusto 16
aunt 1
author 3
back 1
bad 1
be 2
because 1
becomes 1
before 1
begins 1
book 1
bringing 1
but 1
by 3
cannot 1
case 1
chapter 1
character 4
commits 1
consult 1
court 1
created 1
days 1
debate 1
debating 1
decides 3
describes 1
dies 1
does 1
doesnt 1
down 1
downandout 1
dreams 1
efforts 1
endear 1
ends 1
engagement 1
establishes 1
eugenia 9
even 1
everything 1
evolve 1
exists 1
explained 1
explains 1
falls 1
feasible 1
few 1
fictional 1
financial 1
fog 1
for 4
friends 1
from 1
full 1
gesture 1
girl 1
god 1
good 1
goodwill 1
had 2
has 1
he 17
heartbroken 1
help 1
her 5
him 4
himself 5
his 8
home 1
household 1
how 1
however 2
if 1
imperceptible 1
in 8
insult 1
intellectual 1
internally 1
introverted 1
involved 1
involves 1
is 13
just 1
keen 1
kill 2
killed 1
knowing 1
leaving 1
lengthy 1
letter 2
life 1
love 2
man 1
marriage 1
mauricio 2
meantime 1
members 1
might 2
mortgage 1
mostly 1
named 1
needs 1
nevertheless 1
niece 1
not 4
novel 1
obscure 1
occur 1
occurrences 1
of 11
off 1
on 2
one 2
only 1
opinion 1
or 2
other 1
particularly 1
past 1
pays 1
philosophical 1
plot 1
ponderings 1
process 1
propose 1
question 1
rather 1
read 1
reader 1
real 1
really 1
reason 1
receives 1
reference 1
rejects 1
relationship 2
reminds 1
returns 1
revealed 1
revolves 1
rosario 1
sees 1
serve 1
serves 1
sets 1
she 3
since 1
small 1
so 1
some 2
spanish 1
speaks 1
street 1
subject 1
suicide 2
surprise 1
talking 1
telling 1
than 1
that 10
the 18
them 3
this 2
though 1
thought 1
threatens 1
title 1
to 14
troubles 1
truth 1
trying 1
ultimate 1
unamuno 7
various 1
vision 1
walks 1
was 1
wealthy 1
when 1
whether 1
which 1
who 1
whom 1
will 1
with 8
without 1
woman 1
world 1
would 1
written 1
young 2
