888331
/m/03lzqn
/m/03lzqn
Tim Dorsey
2002
{"/m/0lsxr": "Crime Fiction"}
a 3
about 1
alcohol 1
and 2
are 1
be 1
becomes 1
braindead 1
branch 1
bunch 1
but 1
by 1
cokeheaded 1
coleman 2
company 1
constantly 1
crime 1
davenport 1
definitely 1
disappointing 1
down 1
drugs 1
eccentrics 1
enough 1
excited 1
florida 1
from 2
had 1
he 1
him 1
his 1
hooker 1
illegal 1
in 2
influence 1
initially 1
is 6
jim 2
job 1
move 2
much 1
neighbors 1
odd 1
of 2
onward 1
pleasant 1
point 1
proves 1
quickly 1
rhodes 1
seems 1
serge 2
sharon 2
something 2
spiteful 1
stoner 1
storms 1
story 1
strange 1
street 1
surreal 1
tampa 1
than 1
that 1
the 5
there 1
though 1
thought 1
to 3
transferred 1
under 1
who 1
worse 1
