8675778
/m/027dl4r
/m/027dl4r
Alice Hoffman
2003
15yearold 1
16th 2
a 7
after 2
again 1
almost 1
and 14
animals 1
appearance 1
apples 1
approaching 1
art 1
as 5
ash 2
ashes 1
aurora 1
bats 1
be 2
beautiful 1
becomes 1
behind 2
believed 1
birthday 2
black 1
body 1
boy 1
but 2
by 1
calls 1
care 1
caretaker 1
changes 1
charming 1
city 4
conflagration 1
continuing 1
cover 1
cut 1
day 2
decides 1
deeply 1
destroy 1
diamond 1
die 1
done 1
dote 1
enough 1
entire 1
family 3
familys 1
father 1
finally 1
finding 1
finds 1
fire 1
forcing 1
from 2
garden 3
girl 1
goes 1
green 9
group 1
growing 1
grows 1
hair 2
halfblind 1
has 1
heal 1
heartbroken 1
her 19
herself 2
house 1
impatient 1
in 3
indifferent 1
infinite 1
interactions 1
internal 1
is 7
kind 1
kinds 1
leaf 1
leaving 2
lives 1
longer 1
main 1
make 1
malevolent 1
many 1
mastering 1
mother 1
neighbor 1
no 1
now 1
of 6
off 1
old 1
on 3
once 2
one 1
orphans 1
outskirts 1
over 1
pain 3
past 1
patience 1
people 2
perishes 1
personality 1
produce 1
quiet 1
recovery 1
red 1
renames 1
required 1
reserved 1
result 1
rosebuds 1
roses 1
secretive 1
sell 1
several 1
she 12
shy 1
silent 1
singes 1
sister 2
sorrowed 1
starts 1
stem 1
story 1
strong 1
suffer 1
suffering 1
summer 1
survivors 1
takes 1
taste 1
tattoos 2
tell 1
tend 1
tending 1
that 2
the 13
there 1
through 1
time 1
timid 1
to 12
toward 1
tragic 1
turning 2
used 1
vines 1
while 1
wild 1
with 3
within 1
younger 1
