23920142
/m/076tpdt
/m/076tpdt
Mary Wesley
1988
{"/m/05hgj": "Novel"}
a 7
about 1
accountant 1
affairs 1
always 2
an 1
and 9
antiques 1
as 1
at 1
bannister 1
be 1
become 1
becomes 1
bed 1
been 2
begins 1
brief 1
busy 1
but 2
by 1
cannot 1
characters 1
claud 7
concert 1
control 2
determined 1
ends 1
even 2
everything 1
exam 1
failed 1
fictional 1
fiddle 1
finds 1
foresee 1
fortyfive 1
from 1
give 1
had 1
has 4
have 1
he 5
hears 1
her 2
herself 1
him 1
himself 1
his 7
immediately 1
in 8
installed 1
interested 1
introduced 1
is 6
isnt 2
just 2
laura 7
learns 1
life 1
living 2
loft 2
lose 1
making 1
market 2
meddler 1
merely 1
mother 1
no 1
notorious 1
novel 1
old 1
on 1
own 1
planned 1
plans 1
playing 1
realizes 1
rearranging 1
rented 1
second 1
sees 1
selling 1
she 7
single 1
so 1
stall 1
starts 1
studies 1
talent 1
that 4
the 2
thornby 2
time 1
to 5
total 1
twentythree 1
up 2
visiting 1
welfare 1
what 1
when 3
with 3
working 2
writer 1
written 1
years 1
