9659983
/m/02pnf6j
/m/02pnf6j
Alma Routsong

{"/m/0hwxm": "Historical novel"}
a 15
about 2
accepts 1
acts 1
admit 1
admits 5
after 2
again 3
against 1
all 2
alone 2
along 2
also 1
although 1
an 2
and 25
anything 1
are 1
arrive 1
arrives 1
as 4
assaults 1
attracted 1
attraction 1
aware 1
away 1
axe 1
be 2
beatings 1
beats 1
begin 1
being 2
between 1
bible 1
biblical 1
blessing 1
bodices 1
books 1
boys 1
bringing 1
brother 3
but 3
buy 1
by 5
cabin 1
can 1
captain 1
cared 1
carry 1
casually 1
caught 1
character 1
cheap 1
children 2
city 1
come 1
compared 1
considerable 1
considers 1
consummate 1
cook 1
county 2
courage 1
crop 1
cultures 1
cuts 1
danger 1
day 2
decide 1
defend 1
delivers 1
demand 1
demonstrate 1
denies 1
destination 1
died 1
dinner 1
divulges 1
do 3
doing 1
dowling 1
drags 1
edward 1
embracing 1
enough 1
experiences 1
faced 1
family 2
farm 2
father 4
feels 2
few 1
firewood 1
first 2
firstperson 1
flout 1
for 6
freedom 1
from 1
front 1
game 1
gave 1
get 1
go 3
goes 1
going 1
greene 2
had 1
hair 1
harm 1
has 3
have 2
having 2
he 6
head 1
heads 2
healing 1
heart 1
helps 1
her 28
herself 3
him 2
himself 1
his 2
home 4
horsedrawn 1
house 1
household 1
identity 1
importantly 1
in 14
indulges 1
into 1
intrigued 1
invite 1
invites 1
is 5
it 3
know 1
known 1
lady 1
land 1
large 1
left 1
life 1
live 1
lives 2
locked 1
lodge 1
lost 1
lowerclass 1
man 1
marry 1
martha 4
mate 1
means 1
meant 1
meet 1
men 2
midst 1
money 1
months 1
most 1
mother 1
much 1
narrative 1
narratives 1
nature 1
necessary 1
negotiate 1
new 3
next 1
no 2
not 4
of 11
off 1
on 3
one 1
oneroom 1
open 1
opportunity 1
or 1
other 1
others 1
out 1
own 1
paints 1
pants 1
parson 4
part 2
pastime 1
patience 17
peace 1
perspective 1
planning 1
plans 1
plant 1
points 1
poorer 1
privilege 1
purchase 1
rachel 2
read 1
relationship 4
renames 1
replaced 1
rescues 1
returns 1
rig 1
risks 1
room 2
sam 5
sarah 19
says 1
scandalous 1
scenes 1
seduce 1
selling 1
set 1
she 13
ship 1
since 2
sister 2
sisterinlaw 1
sisters 1
six 1
sleeps 1
small 1
socializes 1
some 1
something 1
sometimes 2
sons 1
starts 1
story 1
sunday 1
sundays 1
switches 1
switching 1
takes 2
teaches 4
tell 1
tells 4
that 7
the 21
their 11
them 2
then 1
they 9
thinking 1
time 2
to 29
together 1
told 2
too 1
towards 1
town 3
towns 1
trained 1
traveling 1
tries 1
trip 1
true 1
unnatural 1
up 2
upset 1
upstate 1
visiting 1
walks 1
wants 1
was 1
wearing 1
well 1
west 5
when 3
where 2
while 1
white 2
who 2
wife 1
will 2
with 11
witnesses 1
woman 1
work 2
would 1
york 3
