24952979
/m/0bmbbpx
/m/0bmbbpx
Kelley Armstrong
2010-04-06
{"/m/02vzzv": "Urban fantasy", "/m/072lff": "Paranormal romance"}
a 5
able 1
adjusting 1
adult 1
adults 2
after 1
all 4
amongst 2
an 3
and 23
andrew 2
are 4
around 1
as 2
at 2
attraction 1
aunt 2
awakening 1
back 3
bad 2
be 3
been 1
before 3
being 1
best 1
between 2
blame 1
blind 1
book 1
both 1
bring 1
buddies 1
building 1
but 2
by 3
chemistry 1
childhood 1
chloe 13
comes 1
crazy 1
darkest 1
date 1
dead 1
derek 9
destroyed 1
developing 1
disappeared 1
does 1
doesnt 1
done 1
drama 1
during 1
each 1
easier 1
edison 6
end 2
even 2
events 1
eventually 1
everyone 1
excluding 1
exemployee 1
extraordinary 1
father 2
feelings 1
feels 1
fight 1
final 1
find 2
finding 1
fly 1
following 1
follows 1
for 2
formally 1
former 1
four 1
friend 1
from 2
gang 1
girl 1
go 1
group 7
gwen 1
handed 2
hands 1
have 1
having 2
he 1
help 1
her 1
his 1
hot 1
house 2
how 1
hurt 1
in 8
including 1
inexplicably 1
is 5
it 3
just 2
keep 1
kill 1
killed 2
kinds 1
kiss 1
lab 1
leads 1
let 1
life 1
live 1
long 1
love 2
luck 1
lyle 1
made 1
may 1
maybe 1
member 1
mess 1
mishaps 1
mother 1
mounting 1
much 2
never 1
new 1
not 1
obvious 1
of 14
on 8
one 1
or 1
other 2
our 1
out 2
over 1
overin 1
owned 1
people 1
persuade 1
poke 1
poorly 1
possibly 1
power 1
powers 2
problems 1
prod 1
prof 1
proves 1
pure 1
racing 1
rae 2
rather 1
react 1
reckoning 1
reconcile 1
rely 1
renegade 1
ruling 1
run 2
safe 1
safety 2
said 1
save 2
scare 1
scenarios 1
scientist 1
seem 1
seems 2
shows 1
simon 10
so 2
souped 1
spy 2
still 4
stop 1
story 1
supernatural 4
supernaturals 3
surpassing 1
suspicions 1
than 1
that 2
the 29
their 5
them 8
themselves 3
there 1
they 4
theyre 1
think 2
this 3
threatening 1
time 1
to 19
too 1
tori 6
triangle 1
trilogy 1
try 1
turns 1
under 1
unsure 1
up 1
visiting 1
waiting 1
was 1
way 2
were 1
when 1
which 1
who 2
whole 1
whom 1
window 1
with 5
worse 1
