3967120
/m/0b9340
/m/0b9340
Garth Nix
2004-01-01
1 1
2 1
a 22
agreement 1
all 1
allows 1
an 2
and 18
another 2
appointed 1
appoints 1
architect 1
are 1
arrives 2
arthur 13
as 5
at 1
attended 1
be 3
bear 1
beautiful 1
beauty 1
becoming 1
been 1
before 2
behind 1
between 1
blackmail 1
blood 1
blue 2
bottle 1
break 3
brought 1
but 2
buttress 3
by 4
called 1
can 2
cannot 1
catch 1
ceiling 1
chases 1
claim 1
claims 1
collapsing 1
compare 1
composed 1
consists 1
containing 1
contest 2
control 1
copied 1
could 1
creates 2
creating 1
creatures 1
crossing 1
currently 1
cut 2
dame 5
day 1
days 1
decide 1
declares 2
demands 1
denizen 2
denizens 1
destruction 1
diamond 1
difficulty 1
distancedefying 1
drowned 1
dusk 1
east 1
eastern 1
effects 1
encounters 1
ensues 1
equipment 1
exchange 1
eyebrow 1
fall 3
far 6
fight 1
figure 1
find 1
finds 1
first 2
for 3
forced 2
form 3
former 2
found 1
from 4
frsombre 1
gang 2
gauntlets 1
gave 1
giant 1
gives 1
giving 1
glass 3
goes 1
golden 1
great 1
grim 6
has 4
have 1
having 1
he 15
health 1
helping 1
highranking 1
him 6
his 7
home 2
hospital 1
house 5
however 1
if 2
ill 1
in 7
indentured 1
informs 1
inside 1
interfere 1
into 5
invitation 1
is 15
it 3
its 2
japeth 3
judge 2
key 6
knowing 1
known 1
large 1
lead 1
left 2
located 1
location 1
loophole 2
lord 1
lower 2
made 1
manage 1
manages 1
mardi 1
mariner 4
mass 1
meet 1
meets 1
mend 2
metals 1
mistaken 1
mister 1
monday 1
months 1
morrow 1
most 1
namesake 1
nature 1
not 2
nothing 2
notified 1
now 2
objects 1
obtained 1
of 29
off 1
old 1
on 2
once 1
one 2
opponent 1
original 1
other 1
out 2
over 1
overcome 1
own 1
part 4
parts 1
passed 1
phone 1
physical 1
pillow 1
plays 1
portal 1
power 1
precious 1
presumed 1
primus 5
problem 1
process 1
provides 1
pyramid 3
rather 1
reach 1
reaches 6
realms 1
request 1
requested 1
respect 1
result 1
retrieve 2
return 1
returned 1
returns 4
revealing 1
reverses 1
revoked 1
ringing 1
saturday 1
sculptor 1
second 8
secondary 1
section 1
sent 1
servant 1
servants 1
shall 1
she 3
shelvocke 1
should 1
silver 1
since 1
six 1
slow 1
so 2
solve 1
some 1
something 2
son 1
soon 1
soot 1
stabs 1
starts 1
steward 1
stopping 1
suddenly 1
superior 1
surrounded 1
suzy 4
take 1
takes 1
telephone 1
tell 1
tells 2
th 1
than 1
that 11
the 64
them 5
then 4
there 1
thesaurus 1
they 4
this 4
three 1
through 2
thus 1
time 1
to 25
tom 1
tower 7
transport 1
travels 1
treasure 4
tree 2
trustees 1
tuesday 10
tune 1
turquoise 1
two 1
type 1
under 1
unlike 1
up 2
used 1
vehicle 2
very 1
wakes 1
walk 1
wall 1
was 1
way 1
wednesday 1
weirdway 1
when 4
where 3
wherein 1
which 6
while 2
who 2
whoever 1
whose 1
will 8
winner 1
wins 1
with 6
work 4
worker 1
worldlet 1
xylophone 1
