603113
/m/02vk5h
/m/02vk5h
Thomas Middleton
1653
1000 1
a 73
able 5
about 8
abuse 1
abused 1
abuses 1
abysmal 1
access 2
accident 1
accompanied 1
accountable 1
accuses 1
accusing 1
act 1
acting 1
action 1
active 1
acts 1
actually 5
admit 1
admits 1
admitted 2
adultery 2
advances 1
advises 2
after 9
afternoon 1
afterwards 1
again 4
agents 1
ago 1
agreed 1
agrees 3
alerting 1
alibius 17
all 7
almost 2
alone 3
alonzo 41
alonzos 1
alsemero 68
alsemeros 1
also 9
always 1
am 1
among 1
amorously 1
amount 3
an 5
analyse 1
and 116
angry 2
announce 1
another 4
answer 1
answers 2
antonio 28
any 2
apparent 1
appearance 2
appears 3
applaud 2
are 7
around 2
arranged 1
arranges 1
arrestwarrants 1
arrival 1
arrived 1
arrives 1
as 26
asexual 1
ashamed 1
aside 2
ask 1
asks 10
ass 1
assume 1
assumes 2
asylum 3
asylumfools 1
at 10
attempt 3
attempting 1
attempts 1
attend 2
attraction 1
audience 1
avoid 1
awaits 1
away 5
back 5
backs 1
bad 1
be 20
beat 1
beatrice 81
beatricejoanna 1
beatrices 2
beauty 1
because 10
becomes 1
bed 1
bedroom 1
been 9
before 4
begin 1
begins 1
behaves 1
behaving 1
behaviour 1
behind 1
being 6
believes 1
besotted 1
betray 1
betrothed 1
big 1
birds 1
blackmail 1
blame 1
blind 1
body 2
bond 2
born 1
both 2
bound 1
bravery 1
break 1
breaks 1
bride 1
briefly 1
bring 2
brings 1
brother 6
brought 1
burnt 1
but 25
by 15
can 7
cannot 4
care 1
carrying 1
case 1
castle 9
cause 1
causing 3
cell 2
cells 2
challenge 1
challenges 2
chamber 6
chambers 1
chance 3
change 3
changed 5
changelings 1
changes 1
cheating 1
chimney 1
choice 2
choosing 1
church 2
civilly 1
claims 3
class 1
clean 1
clears 1
clever 1
cloak 1
close 2
closes 1
closet 3
clothes 1
coldly 1
come 4
comes 3
comfort 1
comic 1
comments 1
commit 2
committing 2
companion 1
complains 1
completes 1
concerned 1
confesses 3
confines 1
confused 1
contented 1
conversation 2
convince 2
could 3
country 2
counts 1
course 1
coward 1
creating 1
creation 1
creature 1
cure 1
cut 1
cuts 1
cycle 1
damage 1
dance 2
darkness 1
daybreak 1
days 1
de 65
dead 3
deal 1
death 2
decides 1
declares 2
deeply 1
deficiencies 1
deflores 2
degradation 1
delighted 1
delivering 2
demands 1
denounces 1
descend 1
detail 1
diamond 3
diaphanta 22
diaphantas 2
did 2
dies 2
difference 1
different 2
dinner 1
disappointed 1
discuss 1
discussing 1
disease 2
disgust 1
disgusted 3
dislikes 1
disloyal 1
dismiss 1
dismisses 1
disobey 1
disrupts 1
do 1
does 7
double 1
douse 1
draws 1
dress 1
dressed 1
drinks 1
drops 1
ducats 1
ductas 1
duel 2
dumb 1
during 1
earlier 2
easier 1
effectively 1
effort 1
eight 1
either 1
elects 1
else 2
embrace 1
embraces 1
employed 1
enclosure 1
encounter 1
end 2
enjoying 2
enraged 1
enter 9
entered 1
enters 25
entire 2
equals 1
escapades 2
even 4
eventually 2
every 1
everyone 3
evil 1
exactly 1
except 1
exeunt 1
exhibited 1
exits 9
expects 1
explains 3
exposes 2
external 1
fact 1
fair 1
fake 2
fakes 1
fallen 2
father 7
fathers 1
faults 1
fear 1
fears 1
feels 1
fetch 1
fianc 1
fiance 1
figure 2
figures 1
finally 1
financial 1
find 1
finds 4
finger 6
finish 1
fire 4
first 3
fit 1
five 1
fled 1
flight 1
flirt 2
flores 62
florins 1
follow 1
followed 1
following 1
folly 1
fond 1
food 1
fool 8
fools 4
for 36
forced 2
forces 1
forcibly 1
forgiveness 1
found 1
framd 1
franciscus 16
fraud 1
from 9
full 1
further 2
gain 2
gallants 2
gallows 1
gaping 1
garden 1
gentleman 5
gentlemen 4
gentlewomen 1
get 6
gets 2
getting 2
ghost 2
girl 1
give 1
gives 4
glove 1
go 6
goes 6
going 1
gold 1
good 1
goodbye 1
goodlooking 2
grants 1
great 4
greater 1
greeted 1
greets 1
group 1
guard 1
guilt 1
gun 1
gunshot 1
had 11
hand 1
hanged 1
harbour 1
has 27
hastily 1
hates 1
hatred 1
haunts 1
have 25
having 7
he 83
health 1
heaps 1
hear 1
heard 3
hearing 1
heart 1
heartbroken 1
hell 1
help 1
her 64
heroically 1
herself 1
hidden 1
hides 2
hiding 2
high 1
him 56
himself 9
hints 1
hired 1
his 31
holds 1
home 1
horrible 1
host 1
hostile 1
hostility 1
house 3
how 8
however 2
hundred 1
husband 3
idea 4
ie 1
if 14
ignoble 1
imminent 1
impetus 1
implication 1
implying 1
impossible 1
impress 1
impression 1
imprisoned 1
in 53
incriminate 1
indeed 1
indulged 1
infidelity 1
inform 2
informed 1
informs 2
initially 1
innuendos 1
insists 1
instead 2
instructed 2
instructions 1
instructs 2
insulting 1
intention 2
interested 1
interrupt 1
into 3
introduces 1
intuitive 1
invite 1
invited 1
involves 2
is 65
isabella 33
isnt 1
issues 1
it 20
its 1
jail 1
jasperino 19
joins 1
judgement 1
just 5
keep 1
keeping 1
kill 2
killed 1
killing 3
kills 2
kind 2
kinds 1
kiss 1
kissed 1
kisses 2
kit 2
kneels 1
knew 1
know 1
knowledge 1
lady 1
last 3
lastditch 1
laughing 1
leading 1
leads 4
learn 1
leave 7
leaves 10
left 2
letter 2
liar 1
life 1
lights 1
like 4
lines 1
listen 1
little 3
lives 1
lock 1
locked 1
locks 1
lollio 36
look 1
looking 1
looks 2
loss 1
lost 1
lot 1
lots 2
loud 1
love 12
lovers 1
loves 3
loving 1
mad 4
made 3
madhouse 2
madman 3
madmen 11
madwoman 3
main 1
mainly 1
make 3
makes 3
making 1
malta 1
man 1
manage 1
manner 1
marriage 2
married 1
marry 2
marrying 1
masters 1
may 4
