18622812
/m/04gqxs6
/m/04gqxs6
Jean Lorrah
1984-11
{"/m/06n90": "Science Fiction"}
a 2
acquire 1
amanda 1
and 2
badly 1
be 2
becomes 1
begin 1
belief 1
by 1
captain 1
case 1
crew 1
die 1
doctor 1
encounters 1
enterprise 1
facility 1
for 2
grayson 1
hampered 1
happening 1
heavily 1
homeworld 1
hospital 1
illogical 1
in 1
involved 1
is 1
it 1
kirk 3
life 1
mccoy 1
member 1
mother 1
murder 1
on 2
people 1
personal 1
solve 1
some 1
soon 1
spock 2
that 1
the 1
their 1
then 1
to 5
too 1
travel 1
treatment 1
trying 1
vulcan 2
would 1
wounded 1
