7896588
/m/026j1sd
/m/026j1sd
Terry Brooks
2007-08-28
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 27
able 2
about 2
across 1
after 1
afterward 1
again 2
agreed 1
agrees 1
aiding 1
ailie 7
air 1
all 2
allies 1
allowing 1
allterrain 1
almost 1
alone 1
also 3
although 1
ambushed 1
an 7
anaheim 1
and 56
angel 10
anger 1
animallike 1
another 2
any 2
apparently 1
appears 1
approaches 1
approaching 2
arborlon 1
are 9
armageddon 2
army 2
arrive 1
as 12
ascending 1
asks 1
asleep 1
assaulted 1
astounded 1
at 7
atop 1
attacks 1
atv 1
audience 1
awake 1
awaken 1
awakens 1
balloon 1
be 1
beast 1
because 1
become 1
been 5
before 2
begin 1
beginning 1
behind 1
being 1
believe 1
besiege 1
blade 1
blind 1
blinds 1
blue 1
bridge 2
bridges 1
brilliant 1
bring 1
buried 1
but 8
by 17
called 2
can 3
cast 1
cat 2
catayla 1
caught 1
causing 1
cavernous 1
caves 1
cheney 4
children 4
cintra 2
city 5
clawing 1
clear 1
climb 1
clues 1
columbia 3
coma 1
command 1
companions 1
complete 1
complex 1
confirms 1
confronts 1
controlled 1
cost 1
council 5
croaks 1
cross 1
crowd 1
cruer 1
crusade 1
culph 10
current 1
currently 1
danger 1
dart 1
day 1
days 2
deaths 1
deep 1
delirious 1
delloreen 5
demon 9
demons 2
depends 1
despite 1
destroy 1
didnt 1
direct 2
disappearing 1
disappears 1
discovers 1
disguised 2
disintegrating 1
dismayed 1
distracting 1
do 2
doesnt 1
dog 1
down 1
dragon 2
eavesdrop 1
elf 3
elfstone 1
elfstones 7
eliminate 1
ellcrys 2
elven 9
elves 6
encounter 3
ended 1
enters 1
entreats 1
enveloped 1
erisha 5
erupt 1
escape 2
escorted 1
evacuating 1
evening 1
exchange 1
exits 1
experimental 1
explains 1
extensive 1
extracker 1
extricate 1
eye 2
face 1
fade 1
fallen 1
falls 1
fearing 1
fell 1
fellow 1
ferries 1
field 4
fight 2
finally 3
find 11
findo 2
finds 3
fire 2
flee 2
flees 1
floor 1
flora 1
follow 1
followers 2
following 1
for 6
force 1
forced 1
forces 1
form 1
frees 1
freeway 1
from 12
frozen 1
future 1
garden 2
gask 1
ghost 2
ghosts 6
girlfriend 1
given 1
gives 1
go 1
goes 1
gone 2
grave 2
graveyard 2
great 1
greatly 1
ground 1
group 3
guard 1
guide 1
gypsy 2
had 4
has 6
have 5
having 1
hawk 15
he 14
head 4
heard 1
helen 2
help 3
helping 2
her 4
high 1
him 6
himself 1
his 7
historian 1
histories 1
hordes 1
hot 1
however 3
human 1
humankind 1
humanlike 1
humans 1
hunt 1
ice 1
imprisoning 1
in 20
