181622
/m/018tps
/m/018tps
Carl Sagan
1985-09
0s 2
1020 1
11 2
136 1
1s 2
20 1
261 1
30000 1
a 31
abandoned 1
accused 1
across 1
acting 1
activated 2
actually 1
adolf 1
advanced 1
algorithms 1
alien 2
all 1
allows 1
also 1
an 2
analogous 1
analysis 1
and 15
anomaly 1
another 1
answered 1
apparent 1
appears 1
are 6
argus 1
arroway 1
artifacts 1
artificial 1
as 5
asking 1
at 1
attempt 1
base 1
bases 1
be 5
because 1
becomes 1
been 2
beings 3
believe 1
berlin 1
blaming 1
book 2
broadcast 1
built 2
but 1
by 5
cannot 3
case 1
center 1
changing 1
circle 1
civilization 1
claimed 1
commonly 1
communication 2
complicated 1
computes 1
confirmed 1
conjectured 1
considered 1
considers 1
consortium 1
conspiracy 1
contained 2
containing 1
could 1
dead 1
deals 1
decimal 1
dedicated 1
deduce 1
deeper 1
describing 1
different 1
digits 1
dimensions 1
director 1
discover 1
discovered 1
discovers 1
does 1
early 1
earth 3
eleanor 1
ellie 7
embarrass 1
encountered 1
enough 1
erased 1
escape 1
even 1
exist 1
exposed 1
extraterrestrial 3
extraterrestrials 2
fabrication 2
faith 1
far 1
feasible 1
feat 1
fields 1
find 1
finds 3
first 4
five 2
footage 1
for 4
foretaste 1
form 1
fourth 1
from 6
further 2
galaxy 2
get 1
government 2
guise 1
happened 1
has 2
have 1
herself 1
hidden 2
highly 1
himself 1
hitler 1
hours 1
human 2
ignorant 1
image 1
implement 1
implicated 1
impossible 1
in 17
including 1
incorporated 1
inside 1
intelligence 3
international 1
interstellar 1
into 1
introduced 1
ionosphere 1
is 16
it 5
its 1
itself 2
joss 1
just 1
kind 1
language 3
leap 2
left 1
length 1
lengths 1
lifelong 1
like 1
line 1
lives 1
living 1
long 1
lucrative 1
machine 4
magnetic 1
make 1
man 1
manmade 1
many 1
marvels 1
mathematics 1
meaning 1
meaningful 1
meet 1
message 10
mexico 1
milky 1
minister 1
minutes 1
modulation 2
multitrilliondollar 1
namely 1
near 1
new 2
no 1
noise 1
numbers 6
of 23
officials 1
older 1
olympics 1
on 2
once 1
one 3
only 2
opening 1
or 1
organized 1
other 1
others 1
over 1
pages 1
palmer 1
passed 1
passengers 2
pattern 1
perpetuate 1
person 1
persons 1
phase 1
pi 2
place 1
plans 1
point 1
polarization 1
powerful 1
predicted 1
presumably 1
prime 4
primer 2
prior 1
produce 1
producing 1
product 1
program 1
project 3
proof 1
prove 1
pursuit 1
questions 1
radio 1
randomly 1
rasterized 1
received 1
record 1
reference 1
religious 1
repeating 1
require 1
retransmission 1
returning 1
reveals 1
richest 1
satellites 1
say 1
scientists 1
scores 1
search 2
seats 1
second 2
secret 1
seemed 1
senders 4
sequence 1
series 2
seti 2
she 3
signal 2
signals 1
signature 1
significant 1
since 1
skeptic 1
so 1
some 2
sort 1
space 2
special 1
specific 1
speech 1
square 1
start 1
statistical 1
still 1
stop 1
stopped 1
stories 1
string 2
successfully 1
successive 1
sufficiently 1
suggest 1
suggesting 1
suggestion 1
suggests 1
summer 1
system 1
take 2
telescopes 1
television 1
that 12
the 52
their 2
them 4
therefore 1
they 6
third 2
this 3
though 1
through 1
time 3
to 20
traced 1
transcendental 1
transit 1
translate 1
transporting 1
travel 1
traveled 1
travelers 2
ultimately 1
understand 1
universal 1
universe 1
unless 1
until 1
upon 2
varying 1
vehicle 1
very 2
video 1
was 1
way 1
were 1
what 2
when 2
where 1
whether 1
which 2
willing 1
with 3
within 2
works 1
world 2
wormhole 1
wormholes 2
yet 1
