1646816
/m/05kbxn
/m/05kbxn
Sidney Sheldon
2004
a 2
about 1
across 1
air 1
allpowerful 1
an 2
and 5
armed 1
artist 1
as 4
awesome 1
big 1
breathe 1
cities 1
close 1
connected 1
conspiracy 1
crucial 1
cycle 1
dead 1
demise 1
diane 1
die 1
each 2
earth 1
environmental 1
for 1
forces 1
four 2
guile 1
harrismay 1
hold 1
husbands 1
in 2
international 1
is 1
join 1
kelly 1
key 1
link 1
lives 1
lovedand 1
must 1
mysteriously 1
nightmare 1
of 3
only 1
other 1
own 1
people 1
share 1
single 1
stevens 1
supermodel 1
suspicious 1
tank 1
target 1
terrified 1
the 6
their 3
they 2
think 1
to 2
two 1
ultimate 1
victims 1
violently 1
was 1
we 1
whose 1
widowsaccomplished 1
with 1
wits 1
world 1
