3303123
/m/094dx9
/m/094dx9
Georges Perec
1975
a 6
about 1
adult 1
after 1
age 1
allegory 1
also 1
although 1
an 2
and 3
apparently 1
arbitrary 1
army 1
around 1
at 3
athletes 1
autobiographical 1
back 1
based 1
been 1
believed 1
boy 3
by 4
called 2
camps 2
chapter 1
chapters 1
competition 1
concentration 1
contacted 1
cruel 1
david 1
deaf 1
deserting 1
died 1
disappearance 1
discovered 1
discovers 1
dumb 1
fictional 3
final 1
first 2
forged 1
from 1
gaspard 1
given 1
govern 1
had 1
has 1
he 3
him 1
identity 2
in 5
individual 1
informs 1
is 3
island 3
life 2
links 1
lives 1
might 1
mother 1
mysterious 1
narrative 2
narrator 2
nazi 1
now 1
of 8
olympian 1
on 2
organisation 1
papers 1
part 2
perec 2
quotation 1
reader 1
recounts 1
reveal 1
revolves 1
rousset 1
rules 1
second 1
seem 1
shipwreck 1
sport 1
story 3
successive 1
that 4
the 22
thirteen 1
time 1
to 1
took 1
utopia 1
w 1
where 1
which 1
while 1
who 1
winklerthe 1
written 1
