33537040
/m/0hgl3g8
/m/0hgl3g8
Selma Lagerlöf
1914

17 1
1860 1
1870 1
a 3
about 1
after 1
age 1
also 1
and 7
anything 1
area 1
as 1
at 4
become 1
becomes 1
but 1
by 1
can 1
challenge 1
church 1
countryside 1
daughter 2
dominated 1
dream 1
else 1
emperor 2
empress 1
farmer 1
father 1
front 1
glory 1
goldie 1
great 1
happen 1
has 1
he 5
head 1
her 1
hierarchies 1
himself 1
his 5
home 1
imagines 1
imperial 1
in 5
into 1
is 2
jan 1
lagerlf 1
landlords 1
letters 1
life 1
local 1
loves 1
more 1
moves 1
native 1
noble 1
novel 1
of 3
or 1
parties 1
place 2
poor 1
portugallia 1
regalia 1
residing 1
return 1
role 1
sending 1
she 3
sinks 1
sits 1
skrolycka 1
social 1
socialize 1
stockholm 1
stops 1
sunnycastle 1
table 1
takes 2
tenant 1
than 1
the 8
then 1
thoughts 1
thus 1
to 2
tries 1
vrmland 1
wealthy 1
wearing 1
wellknown 1
what 1
where 1
whole 1
will 1
with 1
world 1
