523463
/m/02l9m7
/m/02l9m7
Joanne Greenberg
1964
a 13
ability 1
abuse 1
account 1
action 1
against 1
all 1
allow 1
although 1
and 10
antisemitic 1
are 2
around 1
arrange 1
artistically 1
as 2
at 3
battle 1
beautiful 1
became 1
between 2
blau 1
bright 1
but 1
by 1
childhood 1
choose 1
comforting 1
confusing 1
continue 1
controlled 1
copes 1
courage 2
course 1
created 2
daughter 1
deal 1
deborah 15
defense 1
despite 2
develops 1
dictators 1
disappointment 1
dr 1
during 1
earns 1
earth 2
emotional 1
esther 1
even 1
eventually 1
every 1
experience 1
experienced 1
faults 1
fear 1
fears 1
few 1
fight 1
find 1
first 1
five 1
for 2
form 1
frequent 1
fried 1
friendships 1
frightening 1
from 3
frustration 1
gain 1
garden 1
ged 1
girl 1
give 1
goal 1
gods 1
great 1
guilt 1
has 1
haven 1
having 1
helps 1
her 14
hospital 2
i 1
illness 6
in 5
investment 1
involved 1
is 3
issue 1
it 2
its 1
jacob 1
kind 1
kingdom 1
life 1
long 1
love 1
makebelieve 1
meanwhile 1
mental 2
multiple 1
neighbors 1
never 1
nevertheless 1
novel 1
of 14
other 2
over 3
pain 1
parents 2
patient 1
patients 1
peers 1
people 1
phantoms 1
physical 1
portray 1
presents 1
problems 1
promised 1
reality 3
recovery 1
remove 1
resentment 1
resolves 1
rose 1
schizophrenia 1
semiautobiographical 1
shame 2
she 2
signs 1
sister 1
slowly 1
stigma 1
struggle 1
struggles 1
suffered 1
surgery 1
suzy 1
talented 1
teenage 1
that 1
the 16
their 4
therapist 1
there 1
they 1
three 2
threeyear 1
time 1
to 8
torn 1
traumatic 1
treatment 1
trust 1
tumor 1
tyrannical 1
underwent 1
urethra 1
viewpoints 1
was 2
when 3
while 2
who 1
win 1
wins 1
with 4
word 1
world 1
years 2
you 1
younger 1
yr 4
