3569969
/m/09m6wn
/m/09m6wn
Graham Greene
1973
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/06wkf": "Spy fiction", "/m/0c3351": "Suspense"}
a 29
about 3
accept 1
acquaintance 2
action 1
affair 3
again 1
aires 1
alcoholic 1
alive 1
along 1
although 2
always 1
ambassador 3
an 4
and 15
another 1
apology 1
argentina 1
argentine 1
armed 1
as 7
aside 1
asked 1
assistance 1
assumed 1
at 1
attempt 1
attempting 2
attend 1
attracted 1
authorities 1
away 1
ba 1
backwater 1
band 2
be 1
beauty 1
becomes 1
becoming 1
been 3
begin 1
behaviour 1
believes 1
bitter 1
blame 1
bloated 1
border 1
boy 1
brothel 2
buenos 1
but 5
buying 1
by 4
called 1
can 1
caring 1
cars 1
charles 1
charley 1
charts 1
child 4
city 1
claim 1
clara 7
close 1
comedy 1
coming 1
conducts 1
consul 2
consulship 1
cool 1
corrientes 3
couple 1
dangerous 1
de 1
dead 1
deadline 1
death 2
demand 2
descent 1
desire 1
diplomatic 1
discovers 1
distant 1
divorced 1
doctor 2
down 1
drift 1
drinking 1
eduardo 2
efforts 2
either 1
else 1
embassy 1
emotionally 1
england 1
english 4
englishman 1
escape 2
escaping 1
expire 1
faces 1
fail 1
failed 2
father 7
fearsome 1
figure 2
finds 1
for 2
forgotten 1
fortnum 10
friends 1
from 7
full 1
funeral 1
get 1
girl 2
give 1
giving 1
goes 2
had 2
handdelivered 1
hands 1
has 3
have 2
having 1
he 14
hear 1
help 1
her 3
him 2
himself 2
his 18
homily 1
honorary 2
humphries 2
hut 3
in 19
including 1
inhabitants 1
inside 1
involved 1
is 16
it 1
jail 1
julio 1
kidnap 1
kidnappers 2
kidnapping 1
kidnaps 1
killed 1
kiss 1
know 1
last 1
later 2
left 1
leg 1
less 1
letter 1
like 1
listens 1
local 1
love 1
machismo 1
main 1
makeshift 1
man 2
many 1
mass 1
meanwhile 1
meet 1
members 1
mistresses 1
misuses 1
mother 3
motley 1
moves 1
much 1
name 1
named 1
near 1
need 1
never 2
new 1
news 1
no 1
noone 1
northern 1
novel 2
novels 1
now 1
obedience 1
obsessed 1
of 18
old 1
older 1
on 2
once 1
one 2
only 2
or 2
other 2
out 1
paraguay 6
paratroopers 1
plarr 19
plot 1
polica 1
police 6
political 2
position 1
pregnant 1
previous 1
priest 2
prisoners 1
put 1
quiet 1
rain 1
reads 2
rebel 1
reconciliation 1
refuse 1
regards 1
release 1
released 1
relieves 1
remain 1
remained 1
remembering 1
responsibility 1
rest 1
result 2
return 2
rivas 2
robber 1
saavedra 4
same 1
says 1
scene 1
school 1
schoolfriends 1
seduces 1
sees 1
selfcontrolled 1
selfimportant 1
selfpitying 1
sentimentalizing 1
set 1
shanty 1
she 2
shot 2
silent 1
single 1
so 1
some 3
something 1
spends 1
squalid 1
starts 1
story 1
strikes 1
subtropical 1
sunglasses 1
surgery 1
surround 1
suspect 1
suspicious 1
take 1
taken 1
talk 1
teacher 1
tell 1
that 5
the 45
them 1
then 3
they 9
thing 1
threat 1
time 1
times 1
title 1
to 19
town 2
treat 1
tries 1
trip 1
turn 1
two 1
uk 2
up 5
us 1
used 1
visiting 1
waiting 1
was 5
when 2
where 1
which 4
while 4
who 1
whom 1
whose 1
wife 1
will 2
with 8
word 1
would 1
wouldnt 1
writer 1
wrong 1
years 1
young 1
your 1
