9856041
/m/02pt_35
/m/02pt_35
Janice Galloway

{"/m/02xlf": "Fiction"}
a 1
accumulate 1
activates 1
all 1
an 1
and 8
applause 1
becomes 1
being 1
character 1
characters 1
chickenoregg 1
cope 1
crafts 1
denial 1
depressed 1
depression 1
dilemma 1
drama 1
even 1
evolution 1
family 1
find 1
food 1
friends 1
gaining 1
galloway 2
grip 1
growing 1
her 5
in 3
international 1
into 1
intriguing 1
irony 1
is 3
joy 1
life 1
living 1
losing 1
loss 1
lover 1
main 1
major 1
married 1
metamorphoses 1
mother 1
obsessions 1
of 5
onset 1
our 1
own 1
player 1
problems 1
reader 1
rests 1
she 1
simplest 1
stone 1
story 1
suspicious 1
teacher 1
that 2
the 9
things 1
through 2
times 1
to 1
trick 1
trying 1
while 1
wit 1
with 2
yet 1
