11685617
/m/02rnyfn
/m/02rnyfn
Tracy Hickman

a 7
adventure 1
adventures 2
also 1
amunre 3
an 3
ancient 1
and 7
are 2
arrive 1
at 1
be 3
bear 1
been 1
begs 1
believes 1
break 1
bride 1
brink 1
built 1
by 1
called 1
can 2
carelessness 1
cause 1
characters 5
city 1
commit 1
complement 2
contains 2
control 1
crime 1
curse 1
cursed 1
desert 3
did 1
dome 1
driven 1
egyptianstyled 1
eldest 1
encounter 2
enemies 1
exploding 1
fall 1
far 1
flight 1
for 1
from 2
fruit 1
gem 1
goal 1
gravity 1
has 2
haunted 1
held 1
her 1
his 5
in 6
includes 3
into 1
is 5
item 1
its 1
journey 1
kidnapped 1
lived 1
main 2
many 1
map 1
maps 2
martek 1
maze 2
millenniumdead 1
module 2
not 1
number 2
oasis 4
of 14
on 1
one 2
or 1
palm 4
pazar 1
pcs 4
pharaoh 4
player 1
pyramid 2
remove 1
reputation 1
reverse 1
robbed 1
room 1
ruling 1
shadalah 1
sheikh 2
smaller 2
so 1
somewhere 1
son 1
spirit 1
staff 1
star 1
sunken 1
that 1
the 33
them 1
there 1
they 2
thiefproof 1
this 1
to 11
tomb 5
trapfilled 1
traps 1
travel 1
trees 1
turmoil 1
until 1
up 1
upwards 1
use 1
wander 1
was 1
which 4
while 2
white 3
who 1
wilderness 2
within 1
wizard 1
