16104196
/m/03qp75p
/m/03qp75p
Ali Smith
2002-01-15
a 2
about 1
ali 1
and 1
author 1
begging 1
book 1
by 1
character 1
clares 1
conditional 1
death 1
divided 1
edited 1
else 1
entirely 1
far 1
fifth 1
first 1
five 1
for 1
fourth 1
from 1
future 2
girl 1
her 1
historic 1
homeless 1
hotel 2
in 1
into 1
is 5
its 1
last 1
life 1
lise 1
memories 1
money 1
novel 3
of 7
on 1
outside 1
part 3
past 2
penny 1
perfect 2
present 2
receptionist 1
sara 2
second 1
section 3
sections 1
sister 1
smith 1
story 1
tells 1
the 15
third 1
this 1
title 1
titled 1
wilby 1
with 1
world 1
