1931105
/m/06706c
/m/06706c
William Nicholson
2005-01-05
a 18
abandoned 1
about 1
actually 1
against 1
along 1
also 2
ambition 1
an 3
ancient 2
and 34
another 1
anyone 1
approached 1
approaching 1
aramanth 2
are 4
arena 1
armor 1
arms 1
army 5
around 1
as 11
asserts 1
at 4
attack 1
attacks 1
attempt 1
battle 1
be 2
beautiful 2
because 1
become 1
becomes 1
been 2
begin 1
beginning 1
begins 2
behind 2
believing 1
belong 1
book 1
both 1
bound 1
bowman 10
branded 1
breaks 1
brought 1
built 1
but 1
by 7
cant 1
cat 1
centimeters 1
champion 1
change 1
changed 1
chaos 2
choose 1
citizens 1
city 6
come 1
commanded 1
commands 1
compete 1
competitors 1
conceited 1
considerable 2
considered 1
control 1
convinces 1
country 3
cow 1
decides 2
descended 1
despite 1
destroy 1
destroying 1
dies 1
discover 1
discovers 1
dissipates 1
distant 1
distracted 1
districts 1
do 1
docile 1
doesnt 1
dogface 2
down 1
driven 1
duel 1
each 1
either 1
encounters 1
engages 1
enjoy 1
enslaving 1
ensues 1
enters 1
entire 2
entirely 1
events 1
every 1
everyone 1
evil 1
exams 1
except 2
exhaustion 1
exploits 1
fact 1
faints 1
fall 1
far 1
father 1
favorite 1
few 1
fight 1
finally 1
fly 1
follow 1
for 9
force 1
free 1
freedom 1
frenzy 1
friend 1
from 6
gang 2
gets 1
give 1
given 1
great 2
greatly 1
grip 1
group 1
guards 3
had 1
hanno 1
has 3
hath 4
have 2
he 6
head 1
heart 1
heavy 1
her 6
hermit 1
him 2
himself 2
his 9
homeland 2
honor 1
how 1
however 2
idea 1
in 13
initially 1
instigates 1
intended 1
ira 4
is 17
it 2
its 1
jobs 1
johdila 1
johjan 2
joins 1
journey 1
kestrel 10
kill 1
killing 2
kills 2
known 3
labor 1
land 1
later 1
leader 1
learn 1
leave 1
leaves 1
leaving 1
led 2
librarian 1
life 1
limited 1
listen 1
longer 1
love 1
loves 1
lunki 1
make 1
man 1
manaxa 2
manth 4
many 2
marius 1
marry 1
master 7
mastery 10
meanwhile 2
men 1
might 1
mind 2
mist 3
morah 1
more 1
mother 1
moving 1
mumpo 4
must 1
mutual 1
neck 1
new 2
news 1
night 2
no 2
obeys 1
occurred 1
of 18
on 6
one 2
oneeyed 1
or 2
order 1
ortiz 11
other 2
out 3
outnumbers 1
overthrow 1
people 6
person 1
pleasant 1
poorer 1
population 2
power 1
powers 4
prophecy 1
prophet 2
reaches 1
reigning 1
released 3
rescued 1
rescuing 1
residents 1
resist 1
resolve 1
returning 1
revenge 1
rising 1
room 1
ruler 1
run 1
save 1
search 1
searching 1
seek 1
seen 1
sees 1
seizes 1
semeon 1
sends 1
servant 2
set 1
sets 1
severely 1
she 5
show 1
shows 1
sign 1
signs 1
since 1
singer 2
single 1
sirharasi 1
sisi 8
sister 1
slave 3
slaves 1
small 1
smashes 1
so 1
some 1
son 2
speaking 2
spiked 1
stab 1
stay 1
stick 1
strict 1
survivors 1
sword 1
system 1
take 1
talent 1
teach 1
tells 1
temporarily 1
tests 1
than 1
that 8
the 64
themselves 1
these 1
they 7
this 5
those 1
though 2
thousand 1
to 27
together 1
torn 1
touching 1
trail 1
travelling 1
trust 1
try 2
two 1
unable 1
unknown 1
untested 1
until 1
unveiled 1
up 2
use 1
using 1
vows 1
walls 1
watch 1
watchman 1
weakened 1
wedding 2
where 2
whether 1
while 2
who 3
will 4
wind 2
with 7
without 1
work 1
wrong 1
yet 1
young 1
zohan 1
zohon 3
