1396635
/m/04z980
/m/04z980
August Wilson


183 2
a 7
about 1
accuses 1
acquire 1
acquired 1
agency 1
allowing 1
also 1
ambitious 1
an 1
and 9
announces 1
apartment 1
argue 1
arises 1
around 1
at 3
back 1
bank 1
barnes 1
be 5
bedford 2
been 2
being 1
bernie 3
black 2
build 1
buildings 1
but 2
buying 1
by 3
called 1
calls 1
cancel 1
candidacy 1
chain 1
changes 1
company 1
complication 1
consequences 1
day 1
decides 1
declare 1
delay 1
demanding 1
demolition 5
development 2
discovers 1
district 1
ends 1
estate 1
face 1
father 1
first 1
foods 1
for 2
friend 1
from 2
group 1
harmond 12
has 4
he 1
help 1
helping 1
hicks 1
highend 1
highrise 1
hill 1
hills 3
him 2
himself 1
his 5
house 4
if 1
illegally 1
in 2
incentive 1
includes 1
inherited 1
into 1
is 5
ivy 1
join 1
just 1
know 1
leagueeducated 1
leave 1
leaving 1
less 1
like 1
local 1
mame 3
man 1
market 2
mayor 1
mellon 1
minor 1
minority 1
modifications 1
motion 1
named 1
no 2
noble 1
of 6
offers 1
office 2
on 1
one 1
only 1
out 1
over 1
owned 1
owner 3
pennsylvania 1
pittsburgh 2
planned 1
plans 1
possible 1
proceed 1
project 2
property 1
protesting 1
put 1
radio 1
real 1
realty 1
reason 1
redevelop 1
redevelopment 2
refuses 2
require 1
residents 1
roosevelt 9
scene 1
sees 1
sell 1
since 1
slated 1
smith 4
stand 1
starbucks 1
station 1
stores 1
supports 1
swayed 1
tapped 1
tax 1
tells 1
than 1
that 1
the 25
through 1
to 14
truth 1
two 2
used 1
value 2
vicepresident 1
view 1
want 1
was 1
way 1
when 2
which 4
who 1
whole 1
wife 1
wilkes 2
will 3
with 1
wylie 2
