1396825
/m/04z9q5
/m/04z9q5
Clay Aiken
2004-11-16

a 3
accept 1
adversity 1
aiken 2
along 1
also 1
american 1
and 4
as 4
barely 1
been 1
birth 1
book 2
both 1
bullying 1
child 1
conflicts 1
conform 1
contrary 1
demonstrates 1
endure 1
eventually 1
expectations 2
experiences 1
facility 1
father 1
focuses 1
friends 1
grandparents 1
had 1
have 1
he 6
heartbreaking 1
himself 1
his 4
how 1
humorous 1
idol 1
in 3
influential 1
is 1
learned 1
learning 1
life 1
many 1
mentioned 1
merely 1
most 1
mother 1
narrates 1
not 1
of 2
on 1
other 1
overcoming 1
people 2
positively 1
rather 1
reader 1
recounts 1
regaling 1
religion 1
reveals 1
shaped 1
siblings 1
sing 1
speaks 1
stepfather 1
storyteller 1
tale 1
tales 1
teachers 1
than 1
that 1
the 6
then 1
to 6
try 1
was 2
way 1
ways 1
which 1
who 1
with 3
