20960717
/m/05b2fdp
/m/05b2fdp
Lucy Prebble

a 11
after 3
agree 1
also 1
an 2
and 7
anticipating 1
appears 1
as 1
at 1
be 1
become 1
becomes 1
beginning 1
being 1
believes 1
between 1
boy 3
boys 1
called 1
characters 1
chat 2
climactically 1
clinic 1
come 1
cope 1
dani 10
danielle 1
depict 1
disorders 1
eating 1
elevenyearold 1
ends 1
eventually 1
expose 1
finds 1
for 4
four 1
friends 1
friendship 1
from 2
gets 1
girl 1
harrowing 1
has 4
he 1
her 2
his 3
home 1
husband 1
in 7
internet 1
is 2
jan 2
jealous 1
just 1
know 1
laptop 2
lends 1
lewis 3
lonely 1
looking 1
main 1
man 3
meet 1
meets 1
mother 1
of 5
on 1
park 1
pedophile 1
people 1
play 2
police 1
pretends 1
prison 1
problems 1
rape 1
raped 1
room 2
safekeeping 1
separating 1
seventeen 1
short 1
some 2
sound 1
spending 1
spent 1
starts 1
subsequently 1
talking 1
taste 1
the 11
then 1
thirties 2
threatens 1
tim 7
time 2
to 8
trying 1
video 1
visit 1
which 2
who 1
with 2
young 3
