14431088
/m/03d39h0
/m/03d39h0
Thomas Bernhard
1985
1130 1
13 1
170 1
185 1
288 1
301 1
82yearold 1
a 3
accepts 1
accompanied 1
advantage 1
after 2
again 1
aid 1
aided 2
ambassador 1
an 3
and 20
are 2
around 1
arranged 2
arranging 1
arrive 1
art 2
artists 1
as 3
aspects 1
at 3
attacks 1
attendant 1
atzbacher 7
austrian 1
authorities 1
be 1
bearable 1
before 2
believes 1
bench 3
best 1
blames 1
book 6
bordone 3
botched 1
both 1
brethren 1
broken 1
bruckner 1
but 1
by 8
can 1
catholic 2
church 1
circumstances 1
concludes 1
conclusion 1
condition 1
conduct 1
consecutive 1
considers 1
consist 1
contempt 2
continued 1
convinced 1
could 1
critic 1
day 4
days 1
death 4
deaths 1
decisive 1
describes 1
despite 2
do 1
dominate 1
dominated 1
down 1
drama 1
earlier 1
early 1
effects 1
entirely 1
environment 1
evening 1
every 1
exceptionally 1
exemplified 1
failed 1
failing 1
fall 1
fatal 1
finding 1
finds 1
first 2
five 1
flat 1
flaws 1
for 9
formed 1
found 1
four 1
from 1
front 1
gallery 1
general 1
german 1
habit 1
had 6
half 1
has 1
hatred 1
have 3
he 8
heidegger 1
her 3
him 5
himself 1
his 16
hospital 1
hotel 1
hours 1
housekeeper 1
how 1
humanity 1
idea 1
in 16
inclination 1
including 1
increasingly 1
initial 1
intertwined 1
invite 1
irrsigler 1
is 6
it 4
its 4
jug 1
kunsthistorisches 1
let 1
maintain 1
man 2
managed 1
means 1
meet 3
meeting 1
merciful 1
met 4
misuse 1
moment 1
morning 1
moves 1
museum 9
music 1
narrated 1
national 1
now 1
occasionally 1
of 26
on 8
once 1
one 2
only 3
operation 1
or 1
other 1
over 1
overcame 1
own 1
owner 1
p 3
pages 1
path 1
people 1
perfect 1
performance 2
pieces 1
position 1
possible 1
prevents 1
previously 1
proved 1
provide 1
publication 1
purpose 1
recollections 2
reengages 1
reger 18
related 1
render 1
reporting 1
reports 1
requires 1
revealed 1
revealing 1
room 3
runs 1
said 1
same 1
sanitary 1
sat 1
saved 1
schopenhauer 1
scrutiny 1
second 2
seeks 1
set 1
she 2
sister 1
sitting 1
so 1
socialist 1
society 1
speech 1
state 4
statements 1
stifter 1
stood 1
suffered 1
suicide 1
supposed 1
surreptitiously 1
survival 1
survive 1
taking 1
tells 1
terrible 1
that 6
the 50
them 2
then 2
there 1
these 1
they 3
thinking 1
thirty 2
this 4
thoughts 2
thus 1
timely 1
times 1
tintoretto 1
to 16
toilets 1
towards 1
town 1
true 1
two 2
ultimately 1
unbearable 1
up 1
useless 1
using 1
usual 1
various 1
vienna 1
viennese 1
visiting 1
visitors 1
visits 1
walking 1
was 2
watches 1
what 1
when 2
which 7
while 2
whitebearded 2
who 3
whom 1
wife 5
winter 1
with 4
within 1
work 2
world 1
writes 1
year 1
years 2
